mutation_operator,partition,rank_bucket,count,fraction
guard_flip,all_detectable,1,2,0.033898
guard_flip,all_detectable,3,3,0.050847
guard_flip,all_detectable,4,2,0.033898
guard_flip,all_detectable,5,2,0.033898
guard_flip,all_detectable,6-10,11,0.186441
guard_flip,all_detectable,11-20,8,0.135593
guard_flip,all_detectable,21+,31,0.525424
guard_flip,all_detectable,not_ranked,0,0.0
guard_flip,alternative_gt,1,2,0.033898
guard_flip,alternative_gt,3,3,0.050847
guard_flip,alternative_gt,4,2,0.033898
guard_flip,alternative_gt,5,2,0.033898
guard_flip,alternative_gt,6-10,11,0.186441
guard_flip,alternative_gt,11-20,8,0.135593
guard_flip,alternative_gt,21+,31,0.525424
guard_flip,alternative_gt,not_ranked,0,0.0
guard_inter_class,all_detectable,1,1,0.05
guard_inter_class,all_detectable,5,2,0.1
guard_inter_class,all_detectable,6-10,4,0.2
guard_inter_class,all_detectable,11-20,4,0.2
guard_inter_class,all_detectable,21+,9,0.45
guard_inter_class,all_detectable,not_ranked,0,0.0
guard_inter_class,alternative_gt,1,1,0.05
guard_inter_class,alternative_gt,5,2,0.1
guard_inter_class,alternative_gt,6-10,4,0.2
guard_inter_class,alternative_gt,11-20,4,0.2
guard_inter_class,alternative_gt,21+,9,0.45
guard_inter_class,alternative_gt,not_ranked,0,0.0
guard_strengthen,all_detectable,1,2,0.033898
guard_strengthen,all_detectable,2,1,0.016949
guard_strengthen,all_detectable,3,3,0.050847
guard_strengthen,all_detectable,5,2,0.033898
guard_strengthen,all_detectable,6-10,15,0.254237
guard_strengthen,all_detectable,11-20,7,0.118644
guard_strengthen,all_detectable,21+,29,0.491525
guard_strengthen,all_detectable,not_ranked,0,0.0
guard_strengthen,alternative_gt,1,2,0.033898
guard_strengthen,alternative_gt,2,1,0.016949
guard_strengthen,alternative_gt,3,3,0.050847
guard_strengthen,alternative_gt,5,2,0.033898
guard_strengthen,alternative_gt,6-10,15,0.254237
guard_strengthen,alternative_gt,11-20,7,0.118644
guard_strengthen,alternative_gt,21+,29,0.491525
guard_strengthen,alternative_gt,not_ranked,0,0.0
guard_weaken,all_detectable,1,1,0.016949
guard_weaken,all_detectable,3,3,0.050847
guard_weaken,all_detectable,4,3,0.050847
guard_weaken,all_detectable,5,1,0.016949
guard_weaken,all_detectable,6-10,11,0.186441
guard_weaken,all_detectable,11-20,5,0.084746
guard_weaken,all_detectable,21+,35,0.59322
guard_weaken,all_detectable,not_ranked,0,0.0
guard_weaken,alternative_gt,1,1,0.016949
guard_weaken,alternative_gt,3,3,0.050847
guard_weaken,alternative_gt,4,3,0.050847
guard_weaken,alternative_gt,5,1,0.016949
guard_weaken,alternative_gt,6-10,11,0.186441
guard_weaken,alternative_gt,11-20,5,0.084746
guard_weaken,alternative_gt,21+,35,0.59322
guard_weaken,alternative_gt,not_ranked,0,0.0
missing_transition,all_detectable,not_ranked,60,1.0
missing_transition,alternative_gt,1,56,0.933333
missing_transition,alternative_gt,5,2,0.033333
missing_transition,alternative_gt,11-20,1,0.016667
missing_transition,alternative_gt,21+,1,0.016667
missing_transition,alternative_gt,not_ranked,0,0.0
wrong_event,all_detectable,1,1,0.016949
wrong_event,all_detectable,2,2,0.033898
wrong_event,all_detectable,3,4,0.067797
wrong_event,all_detectable,4,5,0.084746
wrong_event,all_detectable,5,1,0.016949
wrong_event,all_detectable,6-10,8,0.135593
wrong_event,all_detectable,11-20,5,0.084746
wrong_event,all_detectable,21+,33,0.559322
wrong_event,all_detectable,not_ranked,0,0.0
wrong_event,alternative_gt,1,1,0.016949
wrong_event,alternative_gt,2,2,0.033898
wrong_event,alternative_gt,3,4,0.067797
wrong_event,alternative_gt,4,5,0.084746
wrong_event,alternative_gt,5,1,0.016949
wrong_event,alternative_gt,6-10,8,0.135593
wrong_event,alternative_gt,11-20,5,0.084746
wrong_event,alternative_gt,21+,33,0.559322
wrong_event,alternative_gt,not_ranked,0,0.0
wrong_initial_state,all_detectable,not_ranked,59,1.0
wrong_initial_state,alternative_gt,1,49,0.830508
wrong_initial_state,alternative_gt,2,3,0.050847
wrong_initial_state,alternative_gt,3,1,0.016949
wrong_initial_state,alternative_gt,6-10,2,0.033898
wrong_initial_state,alternative_gt,11-20,1,0.016949
wrong_initial_state,alternative_gt,21+,3,0.050847
wrong_initial_state,alternative_gt,not_ranked,0,0.0
wrong_source,all_detectable,1,7,0.116667
wrong_source,all_detectable,2,2,0.033333
wrong_source,all_detectable,3,1,0.016667
wrong_source,all_detectable,4,1,0.016667
wrong_source,all_detectable,5,1,0.016667
wrong_source,all_detectable,6-10,9,0.15
wrong_source,all_detectable,11-20,5,0.083333
wrong_source,all_detectable,21+,32,0.533333
wrong_source,all_detectable,not_ranked,2,0.033333
wrong_source,alternative_gt,1,7,0.116667
wrong_source,alternative_gt,2,2,0.033333
wrong_source,alternative_gt,3,1,0.016667
wrong_source,alternative_gt,4,1,0.016667
wrong_source,alternative_gt,5,1,0.016667
wrong_source,alternative_gt,6-10,9,0.15
wrong_source,alternative_gt,11-20,5,0.083333
wrong_source,alternative_gt,21+,32,0.533333
wrong_source,alternative_gt,not_ranked,2,0.033333
wrong_target,all_detectable,1,60,1.0
wrong_target,all_detectable,not_ranked,0,0.0
wrong_target,alternative_gt,1,60,1.0
wrong_target,alternative_gt,not_ranked,0,0.0
