metric,bucket,value,count,fraction
cohort_size,,1000,,
localized_cases,,495,,
skipped_cases,,505,,
top1_hit_rate,,0.149495,,
top3_hit_rate,,0.187879,,
top5_hit_rate,,0.228283,,
mrr,,0.201018,,
rank_distribution,1,,74,0.149495
rank_distribution,2,,5,0.010101
rank_distribution,3,,14,0.028283
rank_distribution,4,,11,0.022222
rank_distribution,5,,9,0.018182
rank_distribution,6-10,,58,0.117172
rank_distribution,11-20,,34,0.068687
rank_distribution,21+,,169,0.341414
rank_distribution,not_ranked,,121,0.244444
