scope,group_key,group_value,partition,tool_a,tool_b,comparison_label,n_cases,complete_repair_rate_a,complete_repair_rate_b,delta_complete_repair_rate,effective_repair_rate_a,effective_repair_rate_b,delta_effective_repair_rate,mean_delta_bpr_a,mean_delta_bpr_b,delta_mean_delta_bpr,regression_rate_a,regression_rate_b,delta_regression_rate
by_operator,mutation_operator,guard_flip,detectable_only,baseline_missing_transition,baseline_wrong_target,missing-transition vs wrong-target,59,1.0,0.0,1.0,1.0,0.0,1.0,0.049951,0.0,0.049951,0.0,0.0,0.0
by_operator,mutation_operator,guard_flip,detectable_only,baseline_missing_transition,baseline_random,missing-transition vs random,59,1.0,0.0,1.0,1.0,0.0,1.0,0.049951,-0.030449,0.080399,0.0,0.542373,-0.542373
by_operator,mutation_operator,guard_flip,detectable_only,baseline_wrong_target,baseline_random,wrong-target vs random,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.030449,0.030449,0.0,0.542373,-0.542373
by_operator,mutation_operator,guard_inter_class,detectable_only,baseline_missing_transition,baseline_wrong_target,missing-transition vs wrong-target,20,0.5,0.0,0.5,0.5,0.0,0.5,0.067248,0.0,0.067248,0.0,0.0,0.0
by_operator,mutation_operator,guard_inter_class,detectable_only,baseline_missing_transition,baseline_random,missing-transition vs random,20,0.5,0.0,0.5,0.5,0.0,0.5,0.067248,-0.016209,0.083457,0.0,0.75,-0.75
by_operator,mutation_operator,guard_inter_class,detectable_only,baseline_wrong_target,baseline_random,wrong-target vs random,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016209,0.016209,0.0,0.75,-0.75
by_operator,mutation_operator,guard_strengthen,detectable_only,baseline_missing_transition,baseline_wrong_target,missing-transition vs wrong-target,59,1.0,0.0,1.0,1.0,0.0,1.0,0.060415,0.0,0.060415,0.0,0.0,0.0
by_operator,mutation_operator,guard_strengthen,detectable_only,baseline_missing_transition,baseline_random,missing-transition vs random,59,1.0,0.0,1.0,1.0,0.0,1.0,0.060415,-0.021581,0.081996,0.0,0.542373,-0.542373
by_operator,mutation_operator,guard_strengthen,detectable_only,baseline_wrong_target,baseline_random,wrong-target vs random,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021581,0.021581,0.0,0.542373,-0.542373
by_operator,mutation_operator,guard_weaken,detectable_only,baseline_missing_transition,baseline_wrong_target,missing-transition vs wrong-target,59,1.0,0.0,1.0,1.0,0.0,1.0,0.04701,0.0,0.04701,0.0,0.0,0.0
by_operator,mutation_operator,guard_weaken,detectable_only,baseline_missing_transition,baseline_random,missing-transition vs random,59,1.0,0.0,1.0,1.0,0.0,1.0,0.04701,-0.012766,0.059776,0.0,0.559322,-0.559322
by_operator,mutation_operator,guard_weaken,detectable_only,baseline_wrong_target,baseline_random,wrong-target vs random,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012766,0.012766,0.0,0.559322,-0.559322
by_operator,mutation_operator,missing_transition,detectable_only,baseline_missing_transition,baseline_wrong_target,missing-transition vs wrong-target,60,1.0,0.0,1.0,1.0,0.0,1.0,0.049599,0.0,0.049599,0.0,0.0,0.0
by_operator,mutation_operator,missing_transition,detectable_only,baseline_missing_transition,baseline_random,missing-transition vs random,60,1.0,0.0,1.0,1.0,0.0,1.0,0.049599,-0.016368,0.065967,0.0,0.65,-0.65
by_operator,mutation_operator,missing_transition,detectable_only,baseline_wrong_target,baseline_random,wrong-target vs random,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016368,0.016368,0.0,0.65,-0.65
by_operator,mutation_operator,wrong_event,detectable_only,baseline_missing_transition,baseline_wrong_target,missing-transition vs wrong-target,59,0.79661,0.0,0.79661,0.79661,0.0,0.79661,0.04752,0.0,0.04752,0.0,0.0,0.0
by_operator,mutation_operator,wrong_event,detectable_only,baseline_missing_transition,baseline_random,missing-transition vs random,59,0.79661,0.016949,0.779661,0.79661,0.033898,0.762712,0.04752,-0.013124,0.060645,0.0,0.491525,-0.491525
by_operator,mutation_operator,wrong_event,detectable_only,baseline_wrong_target,baseline_random,wrong-target vs random,59,0.0,0.016949,-0.016949,0.0,0.033898,-0.033898,0.0,-0.013124,0.013124,0.0,0.491525,-0.491525
by_operator,mutation_operator,wrong_initial_state,detectable_only,baseline_missing_transition,baseline_wrong_target,missing-transition vs wrong-target,59,0.169492,0.0,0.169492,0.966102,0.830508,0.135593,0.58367,0.355098,0.228572,0.0,0.0,0.0
by_operator,mutation_operator,wrong_initial_state,detectable_only,baseline_missing_transition,baseline_random,missing-transition vs random,59,0.169492,0.0,0.169492,0.966102,0.0,0.966102,0.58367,-0.000718,0.584388,0.0,0.016949,-0.016949
by_operator,mutation_operator,wrong_initial_state,detectable_only,baseline_wrong_target,baseline_random,wrong-target vs random,59,0.0,0.0,0.0,0.830508,0.0,0.830508,0.355098,-0.000718,0.355816,0.0,0.016949,-0.016949
by_operator,mutation_operator,wrong_source,detectable_only,baseline_missing_transition,baseline_wrong_target,missing-transition vs wrong-target,60,0.583333,0.0,0.583333,0.583333,0.0,0.583333,0.021269,0.0,0.021269,0.0,0.0,0.0
by_operator,mutation_operator,wrong_source,detectable_only,baseline_missing_transition,baseline_random,missing-transition vs random,60,0.583333,0.0,0.583333,0.583333,0.016667,0.566667,0.021269,-0.015572,0.036842,0.0,0.466667,-0.466667
by_operator,mutation_operator,wrong_source,detectable_only,baseline_wrong_target,baseline_random,wrong-target vs random,60,0.0,0.0,0.0,0.0,0.016667,-0.016667,0.0,-0.015572,0.015572,0.0,0.466667,-0.466667
by_operator,mutation_operator,wrong_target,detectable_only,baseline_missing_transition,baseline_wrong_target,missing-transition vs wrong-target,60,0.0,1.0,-1.0,0.0,1.0,-1.0,0.0,0.052392,-0.052392,0.0,0.0,0.0
by_operator,mutation_operator,wrong_target,detectable_only,baseline_missing_transition,baseline_random,missing-transition vs random,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019952,0.019952,0.0,0.616667,-0.616667
by_operator,mutation_operator,wrong_target,detectable_only,baseline_wrong_target,baseline_random,wrong-target vs random,60,1.0,0.0,1.0,1.0,0.0,1.0,0.052392,-0.019952,0.072344,0.0,0.616667,-0.616667
