campaign,release_label,construct,metric,partition,subgroup,n_cases,value,ci95_low,ci95_high
C1-baseline-repair,C1-baseline-repair,repair,complete_repair_rate,detectable_only,baseline_missing_transition,495,0.684848,0.644444,0.725253
C1-baseline-repair,C1-baseline-repair,repair,complete_repair_rate,cohort_wide,baseline_missing_transition,1000,0.844,0.821,0.866
C1-baseline-repair,C1-baseline-repair,repair,effective_repair_rate,detectable_only,baseline_missing_transition,495,0.779798,0.743434,0.816162
C1-baseline-repair,C1-baseline-repair,repair,effective_repair_rate,cohort_wide,baseline_missing_transition,1000,0.386,0.356,0.416
C1-baseline-repair,C1-baseline-repair,repair,mean_delta_bpr,cohort_wide,baseline_missing_transition,1000,0.052122,0.042111,0.062306
C1-baseline-repair,C1-baseline-repair,repair,mean_delta_bpr,detectable_only,baseline_missing_transition,495,0.052122,0.086775,0.12476
C1-baseline-repair,C1-baseline-repair,repair,complete_repair_rate,detectable_only,baseline_wrong_target,495,0.121212,0.092929,0.149495
C1-baseline-repair,C1-baseline-repair,repair,complete_repair_rate,cohort_wide,baseline_wrong_target,1000,0.565,0.535,0.595
C1-baseline-repair,C1-baseline-repair,repair,effective_repair_rate,detectable_only,baseline_wrong_target,495,0.220202,0.183838,0.256566
C1-baseline-repair,C1-baseline-repair,repair,effective_repair_rate,cohort_wide,baseline_wrong_target,1000,0.109,0.09,0.129
C1-baseline-repair,C1-baseline-repair,repair,mean_delta_bpr,cohort_wide,baseline_wrong_target,1000,0.024094,0.017727,0.030811
C1-baseline-repair,C1-baseline-repair,repair,mean_delta_bpr,detectable_only,baseline_wrong_target,495,0.024094,0.036205,0.061917
C1-baseline-repair,C1-baseline-repair,repair,complete_repair_rate,detectable_only,baseline_random,495,0.00202,0.0,0.006061
C1-baseline-repair,C1-baseline-repair,repair,complete_repair_rate,cohort_wide,baseline_random,1000,0.506,0.476,0.537
C1-baseline-repair,C1-baseline-repair,repair,effective_repair_rate,detectable_only,baseline_random,495,0.006061,0.0,0.014141
C1-baseline-repair,C1-baseline-repair,repair,effective_repair_rate,cohort_wide,baseline_random,1000,0.003,0.0,0.007
C1-baseline-repair,C1-baseline-repair,repair,mean_delta_bpr,cohort_wide,baseline_random,1000,-0.008077,-0.00968,-0.006565
C1-baseline-repair,C1-baseline-repair,repair,mean_delta_bpr,detectable_only,baseline_random,495,-0.008077,-0.019298,-0.013422
C1-baseline-repair,C1-baseline-repair,repair,complete_repair_rate,detectable_only,baseline_search_bpr,495,0.862626,0.832323,0.892929
C1-baseline-repair,C1-baseline-repair,repair,complete_repair_rate,cohort_wide,baseline_search_bpr,1000,0.932,0.916,0.947
C1-baseline-repair,C1-baseline-repair,repair,effective_repair_rate,detectable_only,baseline_search_bpr,495,0.979798,0.967677,0.991919
C1-baseline-repair,C1-baseline-repair,repair,effective_repair_rate,cohort_wide,baseline_search_bpr,1000,0.485,0.454,0.516
C1-baseline-repair,C1-baseline-repair,repair,mean_delta_bpr,cohort_wide,baseline_search_bpr,1000,0.060952,0.050832,0.071507
C1-baseline-repair,C1-baseline-repair,repair,mean_delta_bpr,detectable_only,baseline_search_bpr,495,0.060952,0.104907,0.14265
C1-baseline-repair,C1-baseline-repair,repair,complete_repair_rate,detectable_only,baseline_oracle_composite,495,0.674747,0.632323,0.715152
C1-baseline-repair,C1-baseline-repair,repair,complete_repair_rate,cohort_wide,baseline_oracle_composite,1000,0.839,0.816,0.862
C1-baseline-repair,C1-baseline-repair,repair,effective_repair_rate,detectable_only,baseline_oracle_composite,495,0.826263,0.791919,0.858586
C1-baseline-repair,C1-baseline-repair,repair,effective_repair_rate,cohort_wide,baseline_oracle_composite,1000,0.409,0.378,0.439
C1-baseline-repair,C1-baseline-repair,repair,mean_delta_bpr,cohort_wide,baseline_oracle_composite,1000,0.075999,0.0616,0.090405
C1-baseline-repair,C1-baseline-repair,repair,mean_delta_bpr,detectable_only,baseline_oracle_composite,495,0.075999,0.127566,0.181118
C1-baseline-repair,C1-baseline-repair,repair,complete_repair_rate,detectable_only,baseline_llm_template,495,0.674747,0.632323,0.715152
C1-baseline-repair,C1-baseline-repair,repair,complete_repair_rate,cohort_wide,baseline_llm_template,1000,0.839,0.816,0.862
C1-baseline-repair,C1-baseline-repair,repair,effective_repair_rate,detectable_only,baseline_llm_template,495,0.826263,0.791919,0.858586
C1-baseline-repair,C1-baseline-repair,repair,effective_repair_rate,cohort_wide,baseline_llm_template,1000,0.409,0.378,0.439
C1-baseline-repair,C1-baseline-repair,repair,mean_delta_bpr,cohort_wide,baseline_llm_template,1000,0.075999,0.0616,0.090405
C1-baseline-repair,C1-baseline-repair,repair,mean_delta_bpr,detectable_only,baseline_llm_template,495,0.075999,0.127566,0.181118
