row_label,column_label,case_count,cohort_fraction,planned_count,realisation_ratio,status
action_corruption,small,15,0.015,0,,realised
action_corruption,medium,15,0.015,0,,realised
action_corruption,large,15,0.015,0,,realised
action_corruption,very_large,14,0.014,0,,realised
action_full_mutation,small,15,0.015,0,,realised
action_full_mutation,medium,15,0.015,0,,realised
action_full_mutation,large,14,0.014,0,,realised
action_full_mutation,very_large,15,0.015,0,,realised
dead_state_intro,small,15,0.015,0,,realised
dead_state_intro,medium,15,0.015,0,,realised
dead_state_intro,large,15,0.015,0,,realised
dead_state_intro,very_large,14,0.014,0,,realised
delay_corruption,small,15,0.015,0,,realised
delay_corruption,medium,14,0.014,0,,realised
delay_corruption,large,15,0.015,0,,realised
delay_corruption,very_large,15,0.015,0,,realised
duplicate_transition,small,15,0.015,0,,realised
duplicate_transition,medium,15,0.015,0,,realised
duplicate_transition,large,14,0.014,0,,realised
duplicate_transition,very_large,15,0.015,0,,realised
guard_flip,small,14,0.014,0,,realised
guard_flip,medium,15,0.015,0,,realised
guard_flip,large,15,0.015,0,,realised
guard_flip,very_large,15,0.015,0,,realised
guard_inter_class,small,9,0.009,0,,realised
guard_inter_class,medium,14,0.014,0,,realised
guard_inter_class,large,15,0.015,0,,realised
guard_inter_class,very_large,15,0.015,0,,realised
guard_strengthen,small,15,0.015,0,,realised
guard_strengthen,medium,15,0.015,0,,realised
guard_strengthen,large,14,0.014,0,,realised
guard_strengthen,very_large,15,0.015,0,,realised
guard_weaken,small,15,0.015,0,,realised
guard_weaken,medium,14,0.014,0,,realised
guard_weaken,large,15,0.015,0,,realised
guard_weaken,very_large,15,0.015,0,,realised
missing_transition,small,15,0.015,0,,realised
missing_transition,medium,15,0.015,0,,realised
missing_transition,large,15,0.015,0,,realised
missing_transition,very_large,15,0.015,0,,realised
nondeterminism_intro,small,15,0.015,0,,realised
nondeterminism_intro,medium,15,0.015,0,,realised
nondeterminism_intro,large,14,0.014,0,,realised
nondeterminism_intro,very_large,15,0.015,0,,realised
timeout_corruption,small,14,0.014,0,,realised
timeout_corruption,medium,15,0.015,0,,realised
timeout_corruption,large,15,0.015,0,,realised
timeout_corruption,very_large,15,0.015,0,,realised
unreachable_state_intro,small,15,0.015,0,,realised
unreachable_state_intro,medium,15,0.015,0,,realised
unreachable_state_intro,large,15,0.015,0,,realised
unreachable_state_intro,very_large,14,0.014,0,,realised
wrong_event,small,14,0.014,0,,realised
wrong_event,medium,15,0.015,0,,realised
wrong_event,large,15,0.015,0,,realised
wrong_event,very_large,15,0.015,0,,realised
wrong_initial_state,small,15,0.015,0,,realised
wrong_initial_state,medium,14,0.014,0,,realised
wrong_initial_state,large,15,0.015,0,,realised
wrong_initial_state,very_large,15,0.015,0,,realised
wrong_source,small,15,0.015,0,,realised
wrong_source,medium,15,0.015,0,,realised
wrong_source,large,15,0.015,0,,realised
wrong_source,very_large,15,0.015,0,,realised
wrong_target,small,15,0.015,0,,realised
wrong_target,medium,15,0.015,0,,realised
wrong_target,large,15,0.015,0,,realised
wrong_target,very_large,15,0.015,0,,realised
