cell_index,machine_type,bug_type,size_class,planned_count,realised_count,realisation_ratio,status
0,plain_fsm,missing_transition,tiny,50,0,0.0,unrepresented
1,plain_fsm,nondeterminism_intro,tiny,50,0,0.0,unrepresented
2,plain_fsm,wrong_source,tiny,50,0,0.0,unrepresented
3,plain_fsm,wrong_event,tiny,50,0,0.0,unrepresented
4,mealy,action_corruption,tiny,50,0,0.0,unrepresented
5,mealy,guard_flip,tiny,50,0,0.0,unrepresented
6,mealy,duplicate_transition,tiny,50,0,0.0,unrepresented
7,mealy,wrong_target,tiny,50,0,0.0,unrepresented
8,moore,wrong_initial_state,tiny,50,0,0.0,unrepresented
9,moore,dead_state_intro,tiny,50,0,0.0,unrepresented
10,moore,wrong_target,tiny,50,0,0.0,unrepresented
11,moore,unreachable_state_intro,tiny,50,0,0.0,unrepresented
12,efsm,guard_weaken,tiny,50,0,0.0,unrepresented
13,efsm,guard_strengthen,tiny,50,0,0.0,unrepresented
14,efsm,guard_flip,tiny,50,0,0.0,unrepresented
15,efsm,missing_transition,tiny,50,0,0.0,unrepresented
16,timed_fsm,timeout_corruption,tiny,50,0,0.0,unrepresented
17,timed_fsm,delay_corruption,tiny,50,0,0.0,unrepresented
18,timed_fsm,wrong_target,tiny,50,0,0.0,unrepresented
19,timed_fsm,missing_transition,tiny,50,0,0.0,unrepresented
