rank,case_count,cohort_fraction,machine_type,determinism,completeness,arity_class,size_class,guard_complexity,time_features,graph_structure,oracle_depth,bug_type
1,15,0.015,plain_fsm,deterministic,partial,high,large,simple,none,cyclic|strongly_connected|dense,deep,wrong_source
2,15,0.015,plain_fsm,deterministic,partial,high,large,simple,none,cyclic|strongly_connected|dense,deep,action_corruption
3,15,0.015,plain_fsm,deterministic,partial,high,large,simple,none,cyclic|strongly_connected|dense,deep,wrong_event
4,15,0.015,plain_fsm,deterministic,partial,high,large,simple,none,cyclic|strongly_connected|dense,deep,timeout_corruption
5,15,0.015,plain_fsm,deterministic,partial,high,large,simple,none,cyclic|strongly_connected|dense,deep,guard_weaken
6,15,0.015,plain_fsm,deterministic,partial,high,large,simple,none,cyclic|strongly_connected|dense,deep,guard_inter_class
7,15,0.015,plain_fsm,deterministic,partial,high,large,simple,none,cyclic|strongly_connected|dense,deep,wrong_target
8,14,0.014,plain_fsm,deterministic,partial,high,large,simple,none,cyclic|strongly_connected|dense,deep,guard_flip
9,14,0.014,plain_fsm,deterministic,partial,high,large,simple,none,cyclic|strongly_connected|dense,deep,missing_transition
10,14,0.014,plain_fsm,deterministic,partial,high,large,simple,none,cyclic|strongly_connected|dense,deep,wrong_initial_state
