mutation_operator,cases,detectable_cases,oracle_saturated_cases,detection_rate,mean_faulty_bpr,complete_repair_rate,complete_repair_rate_detectable_only,effective_repair_rate,effective_repair_rate_detectable_only,mean_delta_bpr
action_corruption,50,0,50,nan,1.0,0.96,0.0,0.46,0.0,0.46
dead_state_intro,50,0,50,nan,1.0,0.5,0.0,0.5,0.0,0.154241
delay_corruption,50,0,50,nan,1.0,1.0,0.0,0.0,0.0,0.0
duplicate_transition,50,0,50,nan,1.0,1.0,0.0,1.0,0.0,0.456111
guard_flip,100,100,0,nan,0.653694,0.75,0.75,0.5,0.5,0.06325
guard_strengthen,50,50,0,nan,0.464444,1.0,1.0,1.0,1.0,0.535556
guard_weaken,50,50,0,nan,0.51,1.0,1.0,1.0,1.0,0.49
missing_transition,150,149,1,nan,0.530118,1.0,1.0,0.833333,0.838926,0.323216
nondeterminism_intro,50,0,50,nan,1.0,0.98,0.0,0.94,0.0,0.836667
timeout_corruption,50,0,50,nan,1.0,1.0,0.0,0.0,0.0,0.0
unreachable_state_intro,50,0,50,nan,1.0,1.0,0.0,0.0,0.0,0.0
wrong_event,50,50,0,nan,0.113333,0.5,0.5,0.0,0.0,0.0
wrong_initial_state,50,49,1,nan,0.02,1.0,1.0,0.0,0.0,0.0
wrong_source,50,50,0,nan,0.0,1.0,1.0,0.5,0.5,0.234167
wrong_target,150,150,0,nan,0.562127,0.333333,0.333333,0.333333,0.333333,0.060667
