metric,value
tool_id,baseline_missing_transition
cases,1000
complete_repair_rate,0.822
effective_repair_rate,0.495
regression_rate,0.0
mean_delta_bpr,0.222244
mean_initial_bpr,0.684735
mean_final_bpr,0.90698
complete_repair_rate_detectable_only,0.768519
effective_repair_rate_detectable_only,0.540123
detectable_cases,648
oracle_saturated_cases,352
tool_id,baseline_wrong_target
cases,1000
complete_repair_rate,0.503
effective_repair_rate,0.177
regression_rate,0.0
mean_delta_bpr,0.091687
mean_initial_bpr,0.684735
mean_final_bpr,0.776422
complete_repair_rate_detectable_only,0.459877
effective_repair_rate_detectable_only,0.231481
detectable_cases,648
oracle_saturated_cases,352
tool_id,baseline_random
cases,1000
complete_repair_rate,0.329
effective_repair_rate,0.002
regression_rate,0.399
mean_delta_bpr,-0.177961
mean_initial_bpr,0.684735
mean_final_bpr,0.506774
complete_repair_rate_detectable_only,0.228395
effective_repair_rate_detectable_only,0.0
detectable_cases,648
oracle_saturated_cases,352
