mutation_operator,cases,detectable_cases,oracle_saturated_cases,detection_rate,mean_faulty_bpr,complete_repair_rate,complete_repair_rate_detectable_only,effective_repair_rate,effective_repair_rate_detectable_only,mean_delta_bpr
action_corruption,50,0,50,nan,1.0,0.52,0.0,0.04,0.0,0.033333
dead_state_intro,50,0,50,nan,1.0,0.5,0.0,0.5,0.0,0.079833
delay_corruption,50,0,50,nan,1.0,1.0,0.0,0.0,0.0,0.0
duplicate_transition,50,0,50,nan,1.0,0.0,0.0,0.0,0.0,0.0
guard_flip,100,100,0,nan,0.653694,0.5,0.5,0.25,0.25,0.25
guard_strengthen,50,50,0,nan,0.464444,0.0,0.0,0.0,0.0,0.0
guard_weaken,50,50,0,nan,0.51,0.0,0.0,0.0,0.0,0.0
missing_transition,150,149,1,nan,0.530118,0.166667,0.161074,0.0,0.0,0.0
nondeterminism_intro,50,0,50,nan,1.0,0.04,0.0,0.0,0.0,0.0
timeout_corruption,50,0,50,nan,1.0,1.0,0.0,0.0,0.0,0.0
unreachable_state_intro,50,0,50,nan,1.0,1.0,0.0,0.0,0.0,0.0
wrong_event,50,50,0,nan,0.113333,1.0,1.0,0.5,0.5,0.115907
wrong_initial_state,50,49,1,nan,0.02,1.0,1.0,0.0,0.0,0.0
wrong_source,50,50,0,nan,0.0,0.5,0.5,0.0,0.0,0.0
wrong_target,150,150,0,nan,0.562127,0.666667,0.666667,0.666667,0.666667,0.368222
