mutation_operator,cases,detectable_cases,oracle_saturated_cases,detection_rate,mean_faulty_bpr,complete_repair_rate,complete_repair_rate_detectable_only,effective_repair_rate,effective_repair_rate_detectable_only,mean_delta_bpr
action_corruption,50,0,50,nan,1.0,0.5,0.0,0.0,0.0,0.0
dead_state_intro,50,0,50,nan,1.0,0.0,0.0,0.0,0.0,-0.280311
delay_corruption,50,0,50,nan,1.0,1.0,0.0,0.0,0.0,0.0
duplicate_transition,50,0,50,nan,1.0,0.0,0.0,0.0,0.0,-0.385
guard_flip,100,100,0,nan,0.653694,0.25,0.25,0.0,0.0,-0.01975
guard_strengthen,50,50,0,nan,0.464444,0.0,0.0,0.0,0.0,-0.288611
guard_weaken,50,50,0,nan,0.51,0.0,0.0,0.0,0.0,-0.33
missing_transition,150,149,1,nan,0.530118,0.166667,0.161074,0.0,0.0,-0.443349
nondeterminism_intro,50,0,50,nan,1.0,0.08,0.0,0.04,0.0,-0.063333
timeout_corruption,50,0,50,nan,1.0,1.0,0.0,0.0,0.0,0.0
unreachable_state_intro,50,0,50,nan,1.0,1.0,0.0,0.0,0.0,0.0
wrong_event,50,50,0,nan,0.113333,0.5,0.5,0.0,0.0,-0.228593
wrong_initial_state,50,49,1,nan,0.02,1.0,1.0,0.0,0.0,0.0
wrong_source,50,50,0,nan,0.0,0.5,0.5,0.0,0.0,-0.179167
wrong_target,150,150,0,nan,0.562127,0.0,0.0,0.0,0.0,-0.144889
