mutation_operator,cases,detectable_cases,detection_rate,localization_top1,localization_top5,localization_mrr,complete_repair_rate_detectable,effective_repair_rate_detectable,difficulty_index,difficulty_tier,difficulty_rank
action_corruption,59,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,hard,1
action_full_mutation,59,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,hard,2
dead_state_intro,59,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,hard,3
delay_corruption,59,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,hard,4
duplicate_transition,59,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,hard,5
nondeterminism_intro,59,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,hard,6
timeout_corruption,59,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,medium,7
unreachable_state_intro,59,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,medium,8
guard_inter_class,53,20,0.377358,0.05,0.15,0.125565,0.5,0.5,0.657547,medium,9
wrong_initial_state,59,59,1.0,0.0,0.0,0.0,0.169492,0.966102,0.610169,medium,10
wrong_source,60,60,1.0,0.116667,0.2,0.184762,0.583333,0.583333,0.405556,medium,11
missing_transition,60,60,1.0,0.0,0.0,0.0,1.0,1.0,0.333333,medium,12
wrong_target,60,60,1.0,1.0,1.0,1.0,0.0,0.0,0.333333,easy,13
wrong_event,59,59,1.0,0.016949,0.220339,0.116266,0.79661,0.79661,0.327684,easy,14
guard_strengthen,59,59,1.0,0.033898,0.135593,0.119317,1.0,1.0,0.288136,easy,15
guard_weaken,59,59,1.0,0.016949,0.135593,0.093143,1.0,1.0,0.288136,easy,16
guard_flip,59,59,1.0,0.033898,0.152542,0.110377,1.0,1.0,0.282486,easy,17
