case_id,tool_id,tool_type,model,mutation_operator,status,failure_class,initial_bpr,final_bpr,delta_bpr,complete_repair,effective_repair,regression,patch_parse_failures,patch_validation_failures,patch_application_failures,iterations_completed,runtime_seconds
case_000001,baseline_missing_transition,baseline,baseline_missing_transition,missing_transition,completed,complete_repair,0.9545454545454546,1.0,0.045454545454545414,True,True,False,0,0,0,1,0.0007
case_000001,baseline_random,baseline,baseline_random,missing_transition,completed,regression,0.9545454545454546,0.9090909090909091,-0.045454545454545525,False,False,True,0,0,0,1,0.0007
case_000001,baseline_wrong_target,baseline,baseline_wrong_target,missing_transition,completed,no_improvement,0.9545454545454546,0.9545454545454546,0.0,False,False,False,0,0,0,1,0.0006
case_000002,baseline_missing_transition,baseline,baseline_missing_transition,wrong_target,completed,no_improvement,0.9868421052631579,0.9868421052631579,0.0,False,False,False,0,0,0,1,0.0017
case_000002,baseline_random,baseline,baseline_random,wrong_target,completed,regression,0.9868421052631579,0.881578947368421,-0.10526315789473684,False,False,True,0,0,0,1,0.0016
case_000002,baseline_wrong_target,baseline,baseline_wrong_target,wrong_target,completed,complete_repair,0.9868421052631579,1.0,0.013157894736842146,True,True,False,0,0,0,1,0.002
case_000003,baseline_missing_transition,baseline,baseline_missing_transition,wrong_source,completed,no_improvement,0.9959016393442623,0.9959016393442623,0.0,False,False,False,0,1,0,1,0.0027
case_000003,baseline_random,baseline,baseline_random,wrong_source,completed,regression,0.9959016393442623,0.9918032786885246,-0.004098360655737765,False,False,True,0,0,0,1,0.0891
case_000003,baseline_wrong_target,baseline,baseline_wrong_target,wrong_source,completed,no_improvement,0.9959016393442623,0.9959016393442623,0.0,False,False,False,0,1,0,1,0.0331
case_000004,baseline_missing_transition,baseline,baseline_missing_transition,wrong_event,completed,no_improvement,0.9988023952095808,0.9988023952095808,0.0,False,False,False,0,1,0,1,0.0241
case_000004,baseline_random,baseline,baseline_random,wrong_event,completed,regression,0.9988023952095808,0.9952095808383233,-0.003592814371257469,False,False,True,0,0,0,1,0.6658
case_000004,baseline_wrong_target,baseline,baseline_wrong_target,wrong_event,completed,no_improvement,0.9988023952095808,0.9988023952095808,0.0,False,False,False,0,1,0,1,0.0487
case_000005,baseline_missing_transition,baseline,baseline_missing_transition,wrong_initial_state,completed,no_improvement,0.0,0.0,0.0,False,False,False,0,0,0,1,0.0006
case_000005,baseline_random,baseline,baseline_random,wrong_initial_state,completed,no_improvement,0.0,0.0,0.0,False,False,False,0,0,0,1,0.0005
case_000005,baseline_wrong_target,baseline,baseline_wrong_target,wrong_initial_state,completed,effective_repair,0.0,0.7272727272727273,0.7272727272727273,False,True,False,0,0,0,1,0.0004
case_000006,baseline_missing_transition,baseline,baseline_missing_transition,duplicate_transition,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0006
case_000006,baseline_random,baseline,baseline_random,duplicate_transition,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.001
case_000006,baseline_wrong_target,baseline,baseline_wrong_target,duplicate_transition,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0006
case_000007,baseline_missing_transition,baseline,baseline_missing_transition,dead_state_intro,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0017
case_000007,baseline_random,baseline,baseline_random,dead_state_intro,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0018
