mutation_operator,cases,detection_rate,mean_faulty_bpr,complete_repair_rate,effective_repair_rate,mean_delta_bpr
action_corruption,59,0.0,1.0,1.0,0.0,0.0
action_full_mutation,59,0.0,1.0,1.0,0.0,0.0
dead_state_intro,59,0.0,1.0,1.0,0.0,0.0
delay_corruption,59,0.0,1.0,1.0,0.0,0.0
duplicate_transition,59,0.0,1.0,1.0,0.0,0.0
guard_flip,59,1.0,0.950049,0.0,0.0,0.0
guard_inter_class,53,0.377358,0.968691,0.622642,0.0,0.0
guard_strengthen,59,1.0,0.939585,0.0,0.0,0.0
guard_weaken,59,1.0,0.95299,0.0,0.0,0.0
missing_transition,60,1.0,0.950401,0.0,0.0,0.0
nondeterminism_intro,59,0.0,1.0,1.0,0.0,0.0
timeout_corruption,59,0.0,1.0,1.0,0.0,0.0
unreachable_state_intro,59,0.0,1.0,1.0,0.0,0.0
wrong_event,59,1.0,0.911912,0.0,0.0,0.0
wrong_initial_state,59,1.0,0.039991,0.0,0.830508,0.355098
wrong_source,60,1.0,0.92467,0.0,0.0,0.0
wrong_target,60,1.0,0.947608,1.0,1.0,0.052392
