oracle_depth,metric,bucket,count,fraction
shallow,bpr_delta,0,103,0.515
shallow,bpr_delta,0.01-0.25,78,0.39
shallow,bpr_delta,0.25-0.5,6,0.03
shallow,bpr_delta,0.5-0.75,1,0.005
shallow,bpr_delta,0.75-1.0,12,0.06
shallow,repair_delta_bpr,0,112,0.56
shallow,repair_delta_bpr,0.01-0.25,71,0.355
shallow,repair_delta_bpr,0.25-0.5,10,0.05
shallow,repair_delta_bpr,0.5-0.75,5,0.025
shallow,repair_delta_bpr,0.75-1.0,2,0.01
medium,bpr_delta,0,103,0.515
medium,bpr_delta,0.01-0.25,66,0.33
medium,bpr_delta,0.25-0.5,13,0.065
medium,bpr_delta,0.5-0.75,6,0.03
medium,bpr_delta,0.75-1.0,12,0.06
medium,repair_delta_bpr,0,112,0.56
medium,repair_delta_bpr,0.01-0.25,60,0.3
medium,repair_delta_bpr,0.25-0.5,17,0.085
medium,repair_delta_bpr,0.5-0.75,9,0.045
medium,repair_delta_bpr,0.75-1.0,2,0.01
deep,bpr_delta,0,103,0.515
deep,bpr_delta,0.01-0.25,59,0.295
deep,bpr_delta,0.25-0.5,10,0.05
deep,bpr_delta,0.5-0.75,11,0.055
deep,bpr_delta,0.75-1.0,17,0.085
deep,repair_delta_bpr,0,112,0.56
deep,repair_delta_bpr,0.01-0.25,54,0.27
deep,repair_delta_bpr,0.25-0.5,13,0.065
deep,repair_delta_bpr,0.5-0.75,14,0.07
deep,repair_delta_bpr,0.75-1.0,7,0.035
exhaustive_like,bpr_delta,0,103,0.515
exhaustive_like,bpr_delta,0.01-0.25,44,0.22
exhaustive_like,bpr_delta,0.25-0.5,17,0.085
exhaustive_like,bpr_delta,0.5-0.75,16,0.08
exhaustive_like,bpr_delta,0.75-1.0,20,0.1
exhaustive_like,repair_delta_bpr,0,112,0.56
exhaustive_like,repair_delta_bpr,0.01-0.25,41,0.205
exhaustive_like,repair_delta_bpr,0.25-0.5,18,0.09
exhaustive_like,repair_delta_bpr,0.5-0.75,20,0.1
exhaustive_like,repair_delta_bpr,0.75-1.0,9,0.045
extended_50,bpr_delta,0,103,0.515
extended_50,bpr_delta,0.01-0.25,35,0.175
extended_50,bpr_delta,0.25-0.5,25,0.125
extended_50,bpr_delta,0.5-0.75,11,0.055
extended_50,bpr_delta,0.75-1.0,26,0.13
extended_50,repair_delta_bpr,0,112,0.56
extended_50,repair_delta_bpr,0.01-0.25,33,0.165
extended_50,repair_delta_bpr,0.25-0.5,24,0.12
extended_50,repair_delta_bpr,0.5-0.75,17,0.085
extended_50,repair_delta_bpr,0.75-1.0,14,0.07
extended_60,bpr_delta,0,103,0.515
extended_60,bpr_delta,0.01-0.25,32,0.16
extended_60,bpr_delta,0.25-0.5,24,0.12
extended_60,bpr_delta,0.5-0.75,13,0.065
extended_60,bpr_delta,0.75-1.0,28,0.14
extended_60,repair_delta_bpr,0,112,0.56
extended_60,repair_delta_bpr,0.01-0.25,31,0.155
extended_60,repair_delta_bpr,0.25-0.5,25,0.125
extended_60,repair_delta_bpr,0.5-0.75,15,0.075
extended_60,repair_delta_bpr,0.75-1.0,17,0.085
