metric,group,partition,tool_a,tool_b,n_pairs,mean_a,mean_b,mean_diff,ci95_low,ci95_high,mcnemar_p_value
detection_rate,RQ4,cohort_wide:order_1_vs_order_2,order_1,order_2,250,0.472,0.992,-0.52,-0.58,-0.46,0.0
complete_repair_rate,RQ4,cohort_wide:order_1_vs_order_2,order_1,order_2,250,0.892,0.6,0.292,0.232,0.352,0.0
effective_repair_rate,RQ4,cohort_wide:order_1_vs_order_2,order_1,order_2,250,0.42,0.92,-0.5,-0.564,-0.44,0.0
mean_bpr_delta,RQ4,cohort_wide:order_1_vs_order_2,order_1,order_2,250,0.0677,0.267039,-0.199339,-0.244619,-0.155965,
detection_rate,RQ4,detectable_only:order_1_vs_order_2,order_1,order_2,118,1.0,1.0,0.0,0.0,0.0,1.0
complete_repair_rate,RQ4,detectable_only:order_1_vs_order_2,order_1,order_2,118,0.771186,0.457627,0.313559,0.220339,0.40678,0.0
effective_repair_rate,RQ4,detectable_only:order_1_vs_order_2,order_1,order_2,118,0.889831,1.0,-0.110169,-0.169492,-0.059322,0.000244
mean_bpr_delta,RQ4,detectable_only:order_1_vs_order_2,order_1,order_2,118,0.143432,0.321593,-0.178162,-0.244264,-0.116703,
detection_rate,RQ4,cohort_wide:order_1_vs_order_3,order_1,order_3,250,0.472,1.0,-0.528,-0.588,-0.468,0.0
complete_repair_rate,RQ4,cohort_wide:order_1_vs_order_3,order_1,order_3,250,0.892,0.404,0.488,0.424,0.552,0.0
effective_repair_rate,RQ4,cohort_wide:order_1_vs_order_3,order_1,order_3,250,0.42,0.98,-0.56,-0.624,-0.5,0.0
mean_bpr_delta,RQ4,cohort_wide:order_1_vs_order_3,order_1,order_3,250,0.0677,0.388064,-0.320364,-0.372607,-0.268353,
detection_rate,RQ4,detectable_only:order_1_vs_order_3,order_1,order_3,118,1.0,1.0,0.0,0.0,0.0,1.0
complete_repair_rate,RQ4,detectable_only:order_1_vs_order_3,order_1,order_3,118,0.771186,0.322034,0.449153,0.355932,0.542373,0.0
effective_repair_rate,RQ4,detectable_only:order_1_vs_order_3,order_1,order_3,118,0.889831,0.991525,-0.101695,-0.161017,-0.042373,0.001831
mean_bpr_delta,RQ4,detectable_only:order_1_vs_order_3,order_1,order_3,118,0.143432,0.416379,-0.272947,-0.347015,-0.201662,
detection_rate,RQ4,cohort_wide:order_2_vs_order_3,order_2,order_3,250,0.992,1.0,-0.008,-0.02,0.0,0.5
complete_repair_rate,RQ4,cohort_wide:order_2_vs_order_3,order_2,order_3,250,0.6,0.404,0.196,0.116,0.276,6e-06
effective_repair_rate,RQ4,cohort_wide:order_2_vs_order_3,order_2,order_3,250,0.92,0.98,-0.06,-0.1,-0.024,0.004077
mean_bpr_delta,RQ4,cohort_wide:order_2_vs_order_3,order_2,order_3,250,0.267039,0.388064,-0.121025,-0.193088,-0.047662,
detection_rate,RQ4,detectable_only:order_2_vs_order_3,order_2,order_3,248,1.0,1.0,0.0,0.0,0.0,1.0
complete_repair_rate,RQ4,detectable_only:order_2_vs_order_3,order_2,order_3,248,0.596774,0.407258,0.189516,0.108871,0.270161,1.1e-05
effective_repair_rate,RQ4,detectable_only:order_2_vs_order_3,order_2,order_3,248,0.927419,0.979839,-0.052419,-0.08871,-0.016129,0.010622
mean_bpr_delta,RQ4,detectable_only:order_2_vs_order_3,order_2,order_3,248,0.269193,0.383129,-0.113936,-0.18734,-0.041199,
