case_id,tool_id,tool_type,model,mutation_operator,status,failure_class,initial_bpr,final_bpr,delta_bpr,complete_repair,effective_repair,regression,patch_parse_failures,patch_validation_failures,patch_application_failures,iterations_completed,runtime_seconds,complexity_tier,difficulty_score,faulty_bpr,reference_bpr,oracle_detected,bpr_delta_pre_repair
case_000001,baseline_llm_template,baseline,baseline_llm_template,missing_transition,completed,complete_repair,0.9545454545454546,1.0,0.045454545454545414,True,True,False,0,0,0,1,0.001,small,13.0,0.9545454545454546,1.0,True,0.045454545454545414
case_000001,baseline_oracle_composite,baseline,baseline_oracle_composite,missing_transition,completed,complete_repair,0.9545454545454546,1.0,0.045454545454545414,True,True,False,0,0,0,1,0.0009,small,13.0,0.9545454545454546,1.0,True,0.045454545454545414
case_000001,baseline_search_bpr,baseline,baseline_search_bpr,missing_transition,completed,complete_repair,0.9545454545454546,1.0,0.045454545454545414,True,True,False,0,0,0,1,0.0014,small,13.0,0.9545454545454546,1.0,True,0.045454545454545414
case_000002,baseline_llm_template,baseline,baseline_llm_template,wrong_target,completed,complete_repair,0.9868421052631579,1.0,0.013157894736842146,True,True,False,0,0,0,1,0.0014,medium,22.18,0.9868421052631579,1.0,True,0.013157894736842146
case_000002,baseline_oracle_composite,baseline,baseline_oracle_composite,wrong_target,completed,complete_repair,0.9868421052631579,1.0,0.013157894736842146,True,True,False,0,0,0,1,0.0013,medium,22.18,0.9868421052631579,1.0,True,0.013157894736842146
case_000002,baseline_search_bpr,baseline,baseline_search_bpr,wrong_target,completed,complete_repair,0.9868421052631579,1.0,0.013157894736842146,True,True,False,0,0,0,1,0.0032,medium,22.18,0.9868421052631579,1.0,True,0.013157894736842146
case_000003,baseline_llm_template,baseline,baseline_llm_template,wrong_source,completed,complete_repair,0.9959016393442623,1.0,0.004098360655737654,True,True,False,0,0,0,1,0.0069,large,34.49,0.9959016393442623,1.0,True,0.004098360655737654
case_000003,baseline_oracle_composite,baseline,baseline_oracle_composite,wrong_source,completed,complete_repair,0.9959016393442623,1.0,0.004098360655737654,True,True,False,0,0,0,1,0.0112,large,34.49,0.9959016393442623,1.0,True,0.004098360655737654
case_000003,baseline_search_bpr,baseline,baseline_search_bpr,wrong_source,completed,complete_repair,0.9959016393442623,1.0,0.004098360655737654,True,True,False,0,0,0,1,0.022,large,34.49,0.9959016393442623,1.0,True,0.004098360655737654
case_000004,baseline_llm_template,baseline,baseline_llm_template,wrong_event,completed,regression,0.9988023952095808,0.9976047904191617,-0.0011976047904190823,False,False,True,0,0,0,1,0.0915,very_large,59.73,0.9988023952095808,1.0,True,0.0011976047904191933
