partition,metric,value,denominator,numerator
all_detectable,top1_hit_rate,0.2,10,
all_detectable,top3_hit_rate,0.2,10,
all_detectable,top5_hit_rate,0.2,10,
all_detectable,mrr,0.233394,10,
all_detectable,cohort_size,20,20,20
all_detectable,localized_cases,10,20,10
all_detectable,skipped_cases,10,20,10
all_detectable,top1_hits,2,10,2
all_detectable,top3_hits,2,10,2
all_detectable,top5_hits,2,10,2
transition_localizable_gt,top1_hit_rate,0.25,8,
transition_localizable_gt,top3_hit_rate,0.25,8,
transition_localizable_gt,top5_hit_rate,0.25,8,
transition_localizable_gt,mrr,0.291743,8,
transition_localizable_gt,cohort_size,20,20,20
transition_localizable_gt,localized_cases,8,20,8
transition_localizable_gt,skipped_cases,12,20,12
transition_localizable_gt,top1_hits,2,8,2
transition_localizable_gt,top3_hits,2,8,2
transition_localizable_gt,top5_hits,2,8,2
