metric,group,partition,subgroup,n_cases,mean,ci95_low,ci95_high
detection_rate,RQ4,cohort_wide,order_1,250,0.648,0.588,0.708
complete_repair_rate,RQ4,cohort_wide,order_1,250,0.852,0.808,0.896
effective_repair_rate,RQ4,cohort_wide,order_1,250,0.5,0.436,0.56
mean_bpr_delta,RQ4,cohort_wide,order_1,250,0.36311,0.309742,0.416564
complete_repair_rate,RQ4,detectable_only,order_1,162,0.771605,0.703704,0.833333
effective_repair_rate,RQ4,detectable_only,order_1,162,0.771605,0.703704,0.833333
mean_bpr_delta,RQ4,detectable_only,order_1,162,0.560356,0.49702,0.624417
detection_rate,RQ4,cohort_wide,order_2,241,0.966805,0.941909,0.987552
complete_repair_rate,RQ4,cohort_wide,order_2,241,0.701245,0.643154,0.759336
effective_repair_rate,RQ4,cohort_wide,order_2,241,0.883817,0.842324,0.921162
mean_bpr_delta,RQ4,cohort_wide,order_2,241,0.630463,0.581687,0.678863
complete_repair_rate,RQ4,detectable_only,order_2,233,0.690987,0.630901,0.746781
effective_repair_rate,RQ4,detectable_only,order_2,233,0.914163,0.875536,0.948498
mean_bpr_delta,RQ4,detectable_only,order_2,233,0.65211,0.604097,0.700184
detection_rate,RQ4,cohort_wide,order_3,224,1.0,1.0,1.0
complete_repair_rate,RQ4,cohort_wide,order_3,224,0.571429,0.508929,0.638393
effective_repair_rate,RQ4,cohort_wide,order_3,224,0.964286,0.9375,0.986607
mean_bpr_delta,RQ4,cohort_wide,order_3,224,0.772278,0.729776,0.813837
complete_repair_rate,RQ4,detectable_only,order_3,224,0.571429,0.508929,0.638393
effective_repair_rate,RQ4,detectable_only,order_3,224,0.964286,0.9375,0.986607
mean_bpr_delta,RQ4,detectable_only,order_3,224,0.772278,0.729776,0.813837
detection_rate,RQ4,cohort_wide,fo_subset,250,0.648,0.588,0.708
detection_rate,RQ4,cohort_wide,ho_orders_2_3,465,0.982796,0.969892,0.993548
