metric,value
tool_id,baseline_missing_transition
cases,20
complete_repair_rate,0.75
effective_repair_rate,0.25
regression_rate,0.0
mean_delta_bpr,0.040357
mean_initial_bpr,0.908165
mean_final_bpr,0.948522
complete_repair_rate_detectable_only,0.5
effective_repair_rate_detectable_only,0.5
detectable_cases,10
oracle_saturated_cases,10
tool_id,baseline_wrong_target
cases,20
complete_repair_rate,0.55
effective_repair_rate,0.1
regression_rate,0.0
mean_delta_bpr,0.037022
mean_initial_bpr,0.908165
mean_final_bpr,0.945187
complete_repair_rate_detectable_only,0.1
effective_repair_rate_detectable_only,0.2
detectable_cases,10
oracle_saturated_cases,10
tool_id,baseline_random
cases,20
complete_repair_rate,0.5
effective_repair_rate,0.0
regression_rate,0.35
mean_delta_bpr,-0.013498
mean_initial_bpr,0.908165
mean_final_bpr,0.894667
complete_repair_rate_detectable_only,0.0
effective_repair_rate_detectable_only,0.0
detectable_cases,10
oracle_saturated_cases,10
