metric,bucket,count,fraction
state_count,5,2,0.4
state_count,10,1,0.2
state_count,20,1,0.2
state_count,50,1,0.2
transition_count,10,2,0.4
transition_count,31,1,0.2
transition_count,80,1,0.2
transition_count,250,1,0.2
mutation_operator,action_corruption,0,0.0
mutation_operator,action_full_mutation,0,0.0
mutation_operator,dead_state_intro,0,0.0
mutation_operator,delay_corruption,0,0.0
mutation_operator,duplicate_transition,0,0.0
mutation_operator,guard_flip,0,0.0
mutation_operator,guard_inter_class,0,0.0
mutation_operator,guard_strengthen,0,0.0
mutation_operator,guard_weaken,0,0.0
mutation_operator,missing_transition,1,0.2
mutation_operator,nondeterminism_intro,0,0.0
mutation_operator,timed_selective_mutation,0,0.0
mutation_operator,timeout_corruption,0,0.0
mutation_operator,unreachable_state_intro,0,0.0
mutation_operator,variable_intra_class,0,0.0
mutation_operator,wrong_event,1,0.2
mutation_operator,wrong_initial_state,1,0.2
mutation_operator,wrong_source,1,0.2
mutation_operator,wrong_target,1,0.2
difficulty_category,easy,3,0.6
difficulty_category,hard,1,0.2
difficulty_category,medium,1,0.2
oracle_state_coverage,1.0000,5,1.0
oracle_transition_coverage,1.0000,5,1.0
oracle_event_coverage,1.0000,5,1.0
reference_bpr,1.00,5,1.0
faulty_bpr,0.00,1,0.2
faulty_bpr,0.95,1,0.2
faulty_bpr,0.99,1,0.2
faulty_bpr,1.00,2,0.4
complexity_tier,small,2,0.4
complexity_tier,medium,1,0.2
complexity_tier,large,1,0.2
complexity_tier,very_large,1,0.2
mutation_detection_rate,missing_transition,1,1.0
mutation_detection_rate,wrong_event,1,1.0
mutation_detection_rate,wrong_initial_state,1,1.0
mutation_detection_rate,wrong_source,1,1.0
mutation_detection_rate,wrong_target,1,1.0
