feature_x,feature_y,pearson_r,n
state_count,difficulty_score,0.991371,5
transition_count,difficulty_score,0.984686,5
event_count,difficulty_score,0.989617,5
oracle_state_coverage,difficulty_score,0.0,5
oracle_transition_coverage,difficulty_score,0.0,5
oracle_event_coverage,difficulty_score,0.0,5
reference_bpr,difficulty_score,0.0,5
faulty_bpr,difficulty_score,0.436604,5
state_count,bpr_delta,-0.409786,5
transition_count,bpr_delta,-0.389982,5
event_count,bpr_delta,-0.478792,5
oracle_state_coverage,bpr_delta,0.0,5
oracle_transition_coverage,bpr_delta,0.0,5
oracle_event_coverage,bpr_delta,0.0,5
reference_bpr,bpr_delta,0.0,5
faulty_bpr,bpr_delta,-1.0,5
