secondary_random_seed,case_id,source_case_id,mutation_order,is_higher_order,primary_operator,mutation_operator,ho_seed,reference_bpr,faulty_bpr,bpr_delta,fault_detected,first_order_components_detected,first_order_components_total,all_first_order_detected,coupling_eligible,coupling_detected,complete_repair,effective_repair,repair_final_bpr,repair_delta_bpr,generation_status
0,case_000011,case_000011,1,False,action_corruption,action_corruption,,1.0,1.0,0.0,False,0,1,False,False,False,True,False,1.0,0.0,source
0,case_000011__ho2,case_000011,2,True,action_corruption,"action_corruption,guard_weaken",54570,1.0,0.961864,0.038136,True,1,2,False,False,False,True,True,1.0,0.038136,generated
0,case_000011__ho3,case_000011,3,True,action_corruption,"action_corruption,wrong_source,guard_weaken",94183,1.0,0.961864,0.038136,True,2,3,False,False,False,False,True,0.995763,0.033898,generated
0,case_000030,case_000030,1,False,action_corruption,action_corruption,,1.0,1.0,0.0,False,0,1,False,False,False,True,False,1.0,0.0,source
0,case_000030__ho2,case_000030,2,True,action_corruption,"action_corruption,missing_transition",99794,1.0,0.986842,0.013158,True,1,2,False,False,False,True,True,1.0,0.013158,generated
0,case_000030__ho3,case_000030,3,True,action_corruption,"action_corruption,missing_transition,guard_strengthen",89615,1.0,0.894737,0.105263,True,2,3,False,False,False,True,True,1.0,0.105263,generated
0,case_000049,case_000049,1,False,action_corruption,action_corruption,,1.0,1.0,0.0,False,0,1,False,False,False,True,False,1.0,0.0,source
0,case_000049__ho2,case_000049,2,True,action_corruption,"action_corruption,guard_strengthen",85328,1.0,0.5,0.5,True,1,2,False,False,False,True,True,1.0,0.5,generated
0,case_000049__ho3,case_000049,3,True,action_corruption,"action_corruption,wrong_initial_state,guard_strengthen",54349,1.0,0.0,1.0,True,2,3,False,False,False,False,True,0.272727,0.272727,generated
0,case_000068,case_000068,1,False,action_corruption,action_corruption,,1.0,1.0,0.0,False,0,1,False,False,False,True,False,1.0,0.0,source
0,case_000068__ho2,case_000068,2,True,action_corruption,"action_corruption,missing_transition",50664,1.0,0.998797,0.001203,True,1,2,False,False,False,True,True,1.0,0.001203,generated
0,case_000068__ho3,case_000068,3,True,action_corruption,"action_corruption,guard_strengthen,wrong_source",98789,1.0,0.997593,0.002407,True,2,3,False,False,False,True,True,1.0,0.002407,generated
0,case_000075,case_000075,1,False,action_full_mutation,action_full_mutation,,1.0,1.0,0.0,False,0,1,False,False,False,True,False,1.0,0.0,source
0,case_000075__ho2,case_000075,2,True,action_full_mutation,"action_full_mutation,guard_flip",94490,1.0,0.913934,0.086066,True,1,2,False,False,False,True,True,1.0,0.086066,generated
