secondary_random_seed,cohort_size,total_cases,first_order_detection_rate,higher_order_detection_rate,coupling_effect_estimate,detection_rate_order_1,detection_rate_order_2,detection_rate_order_3,complete_repair_rate_order_1,complete_repair_rate_order_2,complete_repair_rate_order_3,effective_repair_rate_order_1,effective_repair_rate_order_2,effective_repair_rate_order_3,mean_bpr_delta_order_1,mean_bpr_delta_order_2,mean_bpr_delta_order_3,detectable_count_order_1,detectable_count_order_2,detectable_count_order_3,complete_repair_rate_order_1_detectable,complete_repair_rate_order_2_detectable,complete_repair_rate_order_3_detectable,effective_repair_rate_order_1_detectable,effective_repair_rate_order_2_detectable,effective_repair_rate_order_3_detectable,mean_bpr_delta_order_1_detectable,mean_bpr_delta_order_2_detectable,mean_bpr_delta_order_3_detectable,skipped_ho_generations
0,250,750,0.472,0.998,1.0,0.472,0.996,1.0,0.892,0.592,0.372,0.42,0.912,0.976,0.0677,0.240932,0.388793,118,249,250,0.771186,0.590361,0.372,0.889831,0.915663,0.976,0.143432,0.241899,0.388793,0
1,250,750,0.472,0.994,1.0,0.472,0.992,0.996,0.892,0.624,0.392,0.42,0.904,0.984,0.0677,0.230849,0.352818,118,248,249,0.771186,0.620968,0.389558,0.889831,0.91129,0.987952,0.143432,0.232711,0.354235,0
2,250,750,0.472,0.994,1.0,0.472,0.988,1.0,0.892,0.588,0.384,0.42,0.884,0.98,0.0677,0.261481,0.387539,118,247,250,0.771186,0.582996,0.384,0.889831,0.894737,0.98,0.143432,0.264657,0.387539,0
3,250,750,0.472,0.992,1.0,0.472,0.984,1.0,0.892,0.612,0.348,0.42,0.908,0.976,0.0677,0.254429,0.394559,118,246,250,0.771186,0.605691,0.348,0.889831,0.922764,0.976,0.143432,0.258566,0.394559,0
4,250,750,0.472,0.998,1.0,0.472,1.0,0.996,0.892,0.672,0.408,0.42,0.952,0.964,0.0677,0.248869,0.346842,118,250,249,0.771186,0.672,0.405622,0.889831,0.952,0.967871,0.143432,0.248869,0.348235,0
5,250,750,0.472,0.998,1.0,0.472,0.996,1.0,0.892,0.62,0.364,0.42,0.888,0.972,0.0677,0.208363,0.384936,118,249,250,0.771186,0.618474,0.364,0.889831,0.891566,0.972,0.143432,0.2092,0.384936,0
6,250,750,0.472,0.994,1.0,0.472,0.988,1.0,0.892,0.628,0.304,0.42,0.936,0.968,0.0677,0.26388,0.443311,118,247,250,0.771186,0.623482,0.304,0.889831,0.947368,0.968,0.143432,0.267085,0.443311,0
7,250,750,0.472,0.996,1.0,0.472,1.0,0.992,0.892,0.616,0.424,0.42,0.908,0.972,0.0677,0.216521,0.385008,118,250,248,0.771186,0.616,0.419355,0.889831,0.908,0.979839,0.143432,0.216521,0.388113,0
8,250,750,0.472,0.998,1.0,0.472,0.996,1.0,0.892,0.612,0.36,0.42,0.932,0.984,0.0677,0.239526,0.40667,118,249,250,0.771186,0.610442,0.36,0.889831,0.935743,0.984,0.143432,0.240488,0.40667,0
9,250,750,0.472,0.996,1.0,0.472,0.996,0.996,0.892,0.596,0.376,0.42,0.896,0.952,0.0677,0.242233,0.370069,118,249,249,0.771186,0.594378,0.373494,0.889831,0.899598,0.955823,0.143432,0.243206,0.371556,0
