metric,value
campaign,fsmrepairbench_v0_2
plan_path,plans/fsmrepairbench_v0_2_plan.yaml
dataset_dir,data/fsmrepairbench_v0_2
generated_at,2026-06-09T01:29:25.597064+00:00
case_count,1000
automata_families.DFA,150
automata_families.EFSM,200
automata_families.Mealy,200
automata_families.Moore,150
automata_families.NFA,100
automata_families.Timed FSM,200
determinism_distribution.deterministic,700
determinism_distribution.nondeterministic,300
behavioural_scoring.case_count,1000
behavioural_scoring.mean_reference_bpr,1.0
behavioural_scoring.mean_faulty_bpr,0.527985
behavioural_scoring.mean_bpr_delta,0.472015
behavioural_scoring.fault_detection_rate,0.75
behavioural_scoring.reference_bpr_min,1.0
behavioural_scoring.faulty_bpr_min,0.0
fault_localization.method,ochiai
fault_localization.top_k,5
fault_localization.localized_cases,750
fault_localization.skipped_cases,250
fault_localization.top1_hit_rate,0.0
fault_localization.topk_hit_rate,0.377333
coupling_analysis.first_order_case_count,1000
coupling_analysis.higher_order_case_count,0
coupling_analysis.first_order_detection_rate,0.75
coupling_analysis.higher_order_detection_rate,0.0
coupling_analysis.coupling_effect_estimate,0.0
mutation_detection_rates.missing_transition,1.0
mutation_detection_rates.wrong_target,1.0
mutation_detection_rates.wrong_source,1.0
mutation_detection_rates.wrong_event,1.0
mutation_detection_rates.wrong_initial_state,1.0
mutation_detection_rates.duplicate_transition,0.0
mutation_detection_rates.dead_state_intro,0.0
mutation_detection_rates.guard_flip,1.0
mutation_detection_rates.guard_weaken,1.0
mutation_detection_rates.guard_strengthen,1.0
mutation_detection_rates.action_corruption,0.0
mutation_detection_rates.timeout_corruption,0.0
mutation_detection_rates.delay_corruption,0.0
mutation_detection_rates.nondeterminism_intro,0.0
mutation_detection_rates.unreachable_state_intro,0.0
mutation_detection_rates.variable_intra_class,0.0
mutation_detection_rates.guard_inter_class,0.0
mutation_detection_rates.action_full_mutation,0.0
mutation_detection_rates.timed_selective_mutation,0.0
coverage_analysis.case_count,1000
coverage_analysis.missing_combinations.missing_count,4779
