metric,bucket,count,fraction
state_count,5,246,0.246
state_count,10,251,0.251
state_count,20,251,0.251
state_count,50,252,0.252
transition_count,10,167,0.167
transition_count,11,73,0.073
transition_count,12,6,0.006
transition_count,30,167,0.167
transition_count,31,67,0.067
transition_count,32,16,0.016
transition_count,33,1,0.001
transition_count,80,161,0.161
transition_count,81,55,0.055
transition_count,82,23,0.023
transition_count,83,10,0.01
transition_count,84,2,0.002
transition_count,250,114,0.114
transition_count,251,74,0.074
transition_count,252,28,0.028
transition_count,253,24,0.024
transition_count,254,5,0.005
transition_count,255,7,0.007
mutation_operator,action_corruption,59,0.059
mutation_operator,action_full_mutation,59,0.059
mutation_operator,dead_state_intro,59,0.059
mutation_operator,delay_corruption,59,0.059
mutation_operator,duplicate_transition,59,0.059
mutation_operator,guard_flip,59,0.059
mutation_operator,guard_inter_class,53,0.053
mutation_operator,guard_strengthen,59,0.059
mutation_operator,guard_weaken,59,0.059
mutation_operator,missing_transition,60,0.06
mutation_operator,nondeterminism_intro,59,0.059
mutation_operator,timed_selective_mutation,0,0.0
mutation_operator,timeout_corruption,59,0.059
mutation_operator,unreachable_state_intro,59,0.059
mutation_operator,variable_intra_class,0,0.0
mutation_operator,wrong_event,59,0.059
mutation_operator,wrong_initial_state,59,0.059
mutation_operator,wrong_source,60,0.06
mutation_operator,wrong_target,60,0.06
difficulty_category,easy,496,0.496
difficulty_category,hard,252,0.252
difficulty_category,medium,252,0.252
oracle_state_coverage,1.0000,1000,1.0
oracle_transition_coverage,1.0000,1000,1.0
oracle_event_coverage,1.0000,1000,1.0
reference_bpr,1.00,1000,1.0
faulty_bpr,0.00,54,0.054
faulty_bpr,0.21,2,0.002
faulty_bpr,0.23,1,0.001
faulty_bpr,0.24,1,0.001
faulty_bpr,0.26,1,0.001
faulty_bpr,0.29,1,0.001
faulty_bpr,0.39,1,0.001
faulty_bpr,0.45,1,0.001
faulty_bpr,0.47,2,0.002
faulty_bpr,0.48,2,0.002
faulty_bpr,0.50,4,0.004
faulty_bpr,0.51,1,0.001
faulty_bpr,0.52,1,0.001
faulty_bpr,0.54,2,0.002
faulty_bpr,0.55,1,0.001
faulty_bpr,0.58,1,0.001
faulty_bpr,0.69,1,0.001
faulty_bpr,0.74,1,0.001
faulty_bpr,0.75,1,0.001
faulty_bpr,0.76,9,0.009
faulty_bpr,0.77,16,0.016
faulty_bpr,0.79,5,0.005
faulty_bpr,0.80,1,0.001
faulty_bpr,0.81,2,0.002
faulty_bpr,0.85,2,0.002
faulty_bpr,0.89,1,0.001
faulty_bpr,0.90,4,0.004
faulty_bpr,0.91,16,0.016
faulty_bpr,0.92,11,0.011
faulty_bpr,0.93,5,0.005
faulty_bpr,0.95,44,0.044
faulty_bpr,0.96,30,0.03
faulty_bpr,0.97,8,0.008
faulty_bpr,0.98,1,0.001
faulty_bpr,0.99,93,0.093
faulty_bpr,1.00,673,0.673
complexity_tier,small,246,0.246
complexity_tier,medium,251,0.251
complexity_tier,large,251,0.251
complexity_tier,very_large,252,0.252
mutation_detection_rate,action_corruption,0,0.0
mutation_detection_rate,action_full_mutation,0,0.0
mutation_detection_rate,dead_state_intro,0,0.0
mutation_detection_rate,delay_corruption,0,0.0
mutation_detection_rate,duplicate_transition,0,0.0
mutation_detection_rate,guard_flip,59,1.0
mutation_detection_rate,guard_inter_class,20,0.377358
mutation_detection_rate,guard_strengthen,59,1.0
mutation_detection_rate,guard_weaken,59,1.0
mutation_detection_rate,missing_transition,60,1.0
mutation_detection_rate,nondeterminism_intro,0,0.0
mutation_detection_rate,timeout_corruption,0,0.0
mutation_detection_rate,unreachable_state_intro,0,0.0
mutation_detection_rate,wrong_event,59,1.0
mutation_detection_rate,wrong_initial_state,59,1.0
mutation_detection_rate,wrong_source,60,1.0
mutation_detection_rate,wrong_target,60,1.0
