metric,group,subgroup,n_cases,mean,ci95_low,ci95_high
overall_detection_rate,RQ2,,1000,0.495,0.465,0.525
mean_faulty_bpr,RQ2,,1000,0.916578,0.901501,0.931421
mean_bpr_delta,RQ2,,1000,0.083422,0.068579,0.098499
complete_repair_rate_detectable_only,C1,baseline_missing_transition,495,0.684848,0.644444,0.725253
effective_repair_rate_detectable_only,C1,baseline_missing_transition,495,0.779798,0.743434,0.816162
complete_repair_rate_detectable_only,C1,baseline_wrong_target,495,0.121212,0.092929,0.149495
effective_repair_rate_detectable_only,C1,baseline_wrong_target,495,0.220202,0.183838,0.256566
complete_repair_rate_detectable_only,C1,baseline_random,495,0.00202,0.0,0.006061
effective_repair_rate_detectable_only,C1,baseline_random,495,0.006061,0.0,0.014141
top_1_hit_rate,RQ3,,495,0.149495,0.119192,0.181818
top_3_hit_rate,RQ3,,495,0.187879,0.153535,0.222222
top_5_hit_rate,RQ3,,495,0.228283,0.191919,0.264646
mrr,RQ3,,495,0.201018,0.170688,0.231904
detection_rate,RQ4,order_1,250,0.472,0.412,0.536
complete_repair_rate,RQ4,order_1,250,0.892,0.852,0.928
effective_repair_rate,RQ4,order_1,250,0.42,0.36,0.484
mean_bpr_delta,RQ4,order_1,250,0.0677,0.041874,0.096662
detection_rate,RQ4,order_2,250,0.992,0.98,1.0
complete_repair_rate,RQ4,order_2,250,0.6,0.54,0.66
effective_repair_rate,RQ4,order_2,250,0.92,0.884,0.952
mean_bpr_delta,RQ4,order_2,250,0.267039,0.220809,0.315454
detection_rate,RQ4,order_3,250,1.0,1.0,1.0
complete_repair_rate,RQ4,order_3,250,0.404,0.344,0.464
effective_repair_rate,RQ4,order_3,250,0.98,0.96,0.996
mean_bpr_delta,RQ4,order_3,250,0.388064,0.335051,0.441553
detection_rate,C3,shallow,200,0.485,0.415,0.555
mean_faulty_bpr,C3,shallow,200,0.918245,0.882656,0.950025
mean_bpr_delta,C3,shallow,200,0.081755,0.049975,0.117344
detection_rate,C3,medium,200,0.485,0.415,0.555
mean_faulty_bpr,C3,medium,200,0.918245,0.882656,0.950025
mean_bpr_delta,C3,medium,200,0.081755,0.049975,0.117344
detection_rate,C3,deep,200,0.485,0.415,0.555
mean_faulty_bpr,C3,deep,200,0.918245,0.882656,0.950025
mean_bpr_delta,C3,deep,200,0.081755,0.049975,0.117344
