dimension,value,case_count,cohort_fraction,present_in_universe
machine_type,efsm,200,0.2,True
machine_type,mealy,200,0.2,True
machine_type,moore,200,0.2,True
machine_type,plain_fsm,200,0.2,True
machine_type,timed_fsm,200,0.2,True
determinism,deterministic,1000,1.0,True
completeness,complete,135,0.135,True
completeness,partial,865,0.865,True
arity_class,high,150,0.15,True
arity_class,low,650,0.65,True
arity_class,medium,200,0.2,True
size_class,tiny,1000,1.0,True
guard_complexity,compound,200,0.2,True
guard_complexity,none,400,0.4,True
guard_complexity,simple,400,0.4,True
time_features,none,800,0.8,True
time_features,timeout,200,0.2,True
graph_structure,acyclic,365,0.365,True
graph_structure,cyclic,635,0.635,True
graph_structure,dense,150,0.15,True
graph_structure,hub_and_spoke,498,0.498,True
graph_structure,layered,1000,1.0,True
graph_structure,sparse,650,0.65,True
oracle_depth,shallow,1000,1.0,True
bug_type,action_corruption,50,0.05,True
bug_type,dead_state_intro,50,0.05,True
bug_type,delay_corruption,50,0.05,True
bug_type,duplicate_transition,50,0.05,True
bug_type,guard_flip,100,0.1,True
bug_type,guard_strengthen,50,0.05,True
bug_type,guard_weaken,50,0.05,True
bug_type,missing_transition,150,0.15,True
bug_type,nondeterminism_intro,50,0.05,True
bug_type,timeout_corruption,50,0.05,True
bug_type,unreachable_state_intro,50,0.05,True
bug_type,wrong_event,50,0.05,True
bug_type,wrong_initial_state,50,0.05,True
bug_type,wrong_source,50,0.05,True
bug_type,wrong_target,150,0.15,True
