oracle_depth,metric,bucket,count,fraction
shallow,state_count,0,200,1.0
shallow,transition_count,0,200,1.0
shallow,mutation_operator,action_corruption,12,0.06
shallow,mutation_operator,action_full_mutation,12,0.06
shallow,mutation_operator,dead_state_intro,12,0.06
shallow,mutation_operator,delay_corruption,12,0.06
shallow,mutation_operator,duplicate_transition,12,0.06
shallow,mutation_operator,guard_flip,12,0.06
shallow,mutation_operator,guard_inter_class,12,0.06
shallow,mutation_operator,guard_strengthen,12,0.06
shallow,mutation_operator,guard_weaken,12,0.06
shallow,mutation_operator,missing_transition,12,0.06
shallow,mutation_operator,nondeterminism_intro,12,0.06
shallow,mutation_operator,timed_selective_mutation,0,0.0
shallow,mutation_operator,timeout_corruption,12,0.06
shallow,mutation_operator,unreachable_state_intro,12,0.06
shallow,mutation_operator,variable_intra_class,0,0.0
shallow,mutation_operator,wrong_event,12,0.06
shallow,mutation_operator,wrong_initial_state,12,0.06
shallow,mutation_operator,wrong_source,12,0.06
shallow,mutation_operator,wrong_target,8,0.04
shallow,difficulty_category,easy,200,1.0
shallow,oracle_state_coverage,1.0000,200,1.0
shallow,oracle_transition_coverage,1.0000,200,1.0
shallow,oracle_event_coverage,1.0000,200,1.0
shallow,reference_bpr,1.00,200,1.0
shallow,faulty_bpr,0.00,12,0.06
shallow,faulty_bpr,0.28,1,0.005
shallow,faulty_bpr,0.58,1,0.005
shallow,faulty_bpr,0.59,1,0.005
shallow,faulty_bpr,0.61,1,0.005
shallow,faulty_bpr,0.64,1,0.005
shallow,faulty_bpr,0.65,1,0.005
shallow,faulty_bpr,0.69,1,0.005
shallow,faulty_bpr,0.75,1,0.005
shallow,faulty_bpr,0.79,1,0.005
shallow,faulty_bpr,0.81,3,0.015
shallow,faulty_bpr,0.86,2,0.01
shallow,faulty_bpr,0.87,3,0.015
shallow,faulty_bpr,0.88,2,0.01
shallow,faulty_bpr,0.89,1,0.005
shallow,faulty_bpr,0.90,2,0.01
shallow,faulty_bpr,0.93,4,0.02
shallow,faulty_bpr,0.94,3,0.015
shallow,faulty_bpr,0.95,1,0.005
shallow,faulty_bpr,0.96,6,0.03
shallow,faulty_bpr,0.97,5,0.025
shallow,faulty_bpr,0.98,13,0.065
shallow,faulty_bpr,0.99,19,0.095
shallow,faulty_bpr,1.00,115,0.575
shallow,complexity_tier,large,50,0.25
shallow,complexity_tier,medium,50,0.25
shallow,complexity_tier,small,50,0.25
shallow,complexity_tier,very_large,50,0.25
shallow,mutation_detection_rate,action_corruption,0,0.0
shallow,mutation_detection_rate,action_full_mutation,0,0.0
shallow,mutation_detection_rate,dead_state_intro,0,0.0
shallow,mutation_detection_rate,delay_corruption,0,0.0
shallow,mutation_detection_rate,duplicate_transition,0,0.0
shallow,mutation_detection_rate,guard_flip,12,1.0
shallow,mutation_detection_rate,guard_inter_class,5,0.416667
shallow,mutation_detection_rate,guard_strengthen,12,1.0
shallow,mutation_detection_rate,guard_weaken,12,1.0
shallow,mutation_detection_rate,missing_transition,12,1.0
shallow,mutation_detection_rate,nondeterminism_intro,0,0.0
shallow,mutation_detection_rate,timeout_corruption,0,0.0
shallow,mutation_detection_rate,unreachable_state_intro,0,0.0
shallow,mutation_detection_rate,wrong_event,12,1.0
shallow,mutation_detection_rate,wrong_initial_state,12,1.0
shallow,mutation_detection_rate,wrong_source,12,1.0
shallow,mutation_detection_rate,wrong_target,8,1.0
medium,state_count,0,200,1.0
medium,transition_count,0,200,1.0
medium,mutation_operator,action_corruption,12,0.06
medium,mutation_operator,action_full_mutation,12,0.06
medium,mutation_operator,dead_state_intro,12,0.06
medium,mutation_operator,delay_corruption,12,0.06
medium,mutation_operator,duplicate_transition,12,0.06
medium,mutation_operator,guard_flip,12,0.06
medium,mutation_operator,guard_inter_class,12,0.06
medium,mutation_operator,guard_strengthen,12,0.06
medium,mutation_operator,guard_weaken,12,0.06
medium,mutation_operator,missing_transition,12,0.06
medium,mutation_operator,nondeterminism_intro,12,0.06
medium,mutation_operator,timed_selective_mutation,0,0.0
medium,mutation_operator,timeout_corruption,12,0.06
medium,mutation_operator,unreachable_state_intro,12,0.06
medium,mutation_operator,variable_intra_class,0,0.0
medium,mutation_operator,wrong_event,12,0.06
medium,mutation_operator,wrong_initial_state,12,0.06
medium,mutation_operator,wrong_source,12,0.06
medium,mutation_operator,wrong_target,8,0.04
medium,difficulty_category,easy,200,1.0
medium,oracle_state_coverage,1.0000,200,1.0
medium,oracle_transition_coverage,1.0000,200,1.0
medium,oracle_event_coverage,1.0000,200,1.0
medium,reference_bpr,1.00,200,1.0
medium,faulty_bpr,0.00,12,0.06
medium,faulty_bpr,0.36,1,0.005
medium,faulty_bpr,0.42,1,0.005
medium,faulty_bpr,0.43,1,0.005
medium,faulty_bpr,0.45,2,0.01
medium,faulty_bpr,0.46,1,0.005
medium,faulty_bpr,0.50,1,0.005
medium,faulty_bpr,0.54,1,0.005
medium,faulty_bpr,0.56,3,0.015
medium,faulty_bpr,0.57,1,0.005
medium,faulty_bpr,0.60,1,0.005
medium,faulty_bpr,0.62,1,0.005
medium,faulty_bpr,0.64,1,0.005
medium,faulty_bpr,0.66,2,0.01
medium,faulty_bpr,0.69,1,0.005
medium,faulty_bpr,0.71,1,0.005
medium,faulty_bpr,0.76,1,0.005
medium,faulty_bpr,0.81,3,0.015
medium,faulty_bpr,0.82,2,0.01
medium,faulty_bpr,0.83,1,0.005
medium,faulty_bpr,0.84,3,0.015
medium,faulty_bpr,0.85,1,0.005
medium,faulty_bpr,0.86,2,0.01
medium,faulty_bpr,0.87,2,0.01
medium,faulty_bpr,0.88,1,0.005
medium,faulty_bpr,0.89,2,0.01
medium,faulty_bpr,0.90,1,0.005
medium,faulty_bpr,0.92,5,0.025
medium,faulty_bpr,0.94,5,0.025
medium,faulty_bpr,0.95,5,0.025
medium,faulty_bpr,0.96,7,0.035
medium,faulty_bpr,0.97,4,0.02
