surface_id,mutation_operator,operator_family,case_count,detection_rate,saturation_count,saturation_rate,mean_faulty_bpr,mean_bpr_delta
S0,action_corruption,action,50,0.0,50,1.0,1.0,0.0
S0,dead_state_intro,reachability,50,0.0,50,1.0,1.0,0.0
S0,delay_corruption,timing,50,0.0,50,1.0,1.0,0.0
S0,duplicate_transition,nondeterminism,50,0.0,50,1.0,1.0,0.0
S0,guard_flip,guard,100,1.0,0,0.0,0.653694,0.346306
S0,guard_strengthen,guard,50,1.0,0,0.0,0.464444,0.535556
S0,guard_weaken,guard,50,1.0,0,0.0,0.51,0.49
S0,missing_transition,routing,150,0.993333,1,0.006667,0.530118,0.469882
S0,nondeterminism_intro,nondeterminism,50,0.0,50,1.0,1.0,0.0
S0,timeout_corruption,timing,50,0.0,50,1.0,1.0,0.0
S0,unreachable_state_intro,reachability,50,0.0,50,1.0,1.0,0.0
S0,wrong_event,routing,50,1.0,0,0.0,0.113333,0.886667
S0,wrong_initial_state,routing,50,0.98,1,0.02,0.02,0.98
S0,wrong_source,routing,50,1.0,0,0.0,0.0,1.0
S0,wrong_target,routing,150,1.0,0,0.0,0.562127,0.437873
S1,action_corruption,action,50,1.0,0,0.0,0.56,0.44
S1,dead_state_intro,reachability,50,0.0,50,1.0,1.0,0.0
S1,delay_corruption,timing,50,0.0,50,1.0,1.0,0.0
S1,duplicate_transition,nondeterminism,50,0.0,50,1.0,1.0,0.0
S1,guard_flip,guard,100,1.0,0,0.0,0.653694,0.346306
S1,guard_strengthen,guard,50,1.0,0,0.0,0.464444,0.535556
S1,guard_weaken,guard,50,1.0,0,0.0,0.51,0.49
S1,missing_transition,routing,150,0.993333,1,0.006667,0.530118,0.469882
S1,nondeterminism_intro,nondeterminism,50,0.0,50,1.0,1.0,0.0
S1,timeout_corruption,timing,50,0.0,50,1.0,1.0,0.0
S1,unreachable_state_intro,reachability,50,0.0,50,1.0,1.0,0.0
S1,wrong_event,routing,50,1.0,0,0.0,0.113333,0.886667
S1,wrong_initial_state,routing,50,1.0,0,0.0,0.0,1.0
S1,wrong_source,routing,50,1.0,0,0.0,0.0,1.0
S1,wrong_target,routing,150,1.0,0,0.0,0.562127,0.437873
