surface_id,operator_family,case_count,detection_rate,saturation_count,saturation_rate,mean_faulty_bpr,mean_bpr_delta
S0,action,50,0.0,50,1.0,1.0,0.0
S0,guard,200,1.0,0,0.0,0.570458,0.429542
S0,nondeterminism,100,0.0,100,1.0,1.0,0.0
S0,reachability,100,0.0,100,1.0,1.0,0.0
S0,routing,450,0.995556,2,0.004444,0.378896,0.621104
S0,timing,100,0.0,100,1.0,1.0,0.0
S1,action,50,1.0,0,0.0,0.56,0.44
S1,guard,200,1.0,0,0.0,0.570458,0.429542
S1,nondeterminism,100,0.0,100,1.0,1.0,0.0
S1,reachability,100,0.0,100,1.0,1.0,0.0
S1,routing,450,0.997778,1,0.002222,0.376674,0.623326
S1,timing,100,0.0,100,1.0,1.0,0.0
