case_id,mutation_operator,operator_family,change_type,detected_s0,detected_s1,saturated_s0,saturated_s1,faulty_bpr_s0,faulty_bpr_s1
case_000201,action_corruption,action,detection_gain,False,True,True,False,1.0,0.5
case_000202,action_corruption,action,detection_gain,False,True,True,False,1.0,0.0
case_000203,action_corruption,action,detection_gain,False,True,True,False,1.0,0.0
case_000204,action_corruption,action,detection_gain,False,True,True,False,1.0,0.833333
case_000205,action_corruption,action,detection_gain,False,True,True,False,1.0,0.833333
case_000206,action_corruption,action,detection_gain,False,True,True,False,1.0,0.833333
case_000207,action_corruption,action,detection_gain,False,True,True,False,1.0,0.833333
case_000208,action_corruption,action,detection_gain,False,True,True,False,1.0,0.5
case_000209,action_corruption,action,detection_gain,False,True,True,False,1.0,0.5
case_000210,action_corruption,action,detection_gain,False,True,True,False,1.0,0.833333
case_000211,action_corruption,action,detection_gain,False,True,True,False,1.0,0.833333
case_000212,action_corruption,action,detection_gain,False,True,True,False,1.0,0.833333
case_000213,action_corruption,action,detection_gain,False,True,True,False,1.0,0.833333
case_000214,action_corruption,action,detection_gain,False,True,True,False,1.0,0.5
case_000215,action_corruption,action,detection_gain,False,True,True,False,1.0,0.5
case_000216,action_corruption,action,detection_gain,False,True,True,False,1.0,0.833333
case_000217,action_corruption,action,detection_gain,False,True,True,False,1.0,0.833333
case_000218,action_corruption,action,detection_gain,False,True,True,False,1.0,0.833333
case_000219,action_corruption,action,detection_gain,False,True,True,False,1.0,0.5
case_000220,action_corruption,action,detection_gain,False,True,True,False,1.0,0.833333
case_000221,action_corruption,action,detection_gain,False,True,True,False,1.0,0.5
case_000222,action_corruption,action,detection_gain,False,True,True,False,1.0,0.833333
case_000223,action_corruption,action,detection_gain,False,True,True,False,1.0,0.833333
case_000224,action_corruption,action,detection_gain,False,True,True,False,1.0,0.5
case_000225,action_corruption,action,detection_gain,False,True,True,False,1.0,0.5
case_000226,action_corruption,action,detection_gain,False,True,True,False,1.0,0.5
case_000227,action_corruption,action,detection_gain,False,True,True,False,1.0,0.5
case_000228,action_corruption,action,detection_gain,False,True,True,False,1.0,0.5
case_000229,action_corruption,action,detection_gain,False,True,True,False,1.0,0.5
case_000230,action_corruption,action,detection_gain,False,True,True,False,1.0,0.833333
case_000231,action_corruption,action,detection_gain,False,True,True,False,1.0,0.833333
case_000232,action_corruption,action,detection_gain,False,True,True,False,1.0,0.5
case_000233,action_corruption,action,detection_gain,False,True,True,False,1.0,0.5
case_000234,action_corruption,action,detection_gain,False,True,True,False,1.0,0.833333
case_000235,action_corruption,action,detection_gain,False,True,True,False,1.0,0.0
case_000236,action_corruption,action,detection_gain,False,True,True,False,1.0,0.0
case_000237,action_corruption,action,detection_gain,False,True,True,False,1.0,0.5
case_000238,action_corruption,action,detection_gain,False,True,True,False,1.0,0.0
case_000239,action_corruption,action,detection_gain,False,True,True,False,1.0,0.0
case_000240,action_corruption,action,detection_gain,False,True,True,False,1.0,0.5
case_000241,action_corruption,action,detection_gain,False,True,True,False,1.0,0.5
case_000242,action_corruption,action,detection_gain,False,True,True,False,1.0,0.5
case_000243,action_corruption,action,detection_gain,False,True,True,False,1.0,0.0
case_000244,action_corruption,action,detection_gain,False,True,True,False,1.0,0.833333
case_000245,action_corruption,action,detection_gain,False,True,True,False,1.0,0.5
case_000246,action_corruption,action,detection_gain,False,True,True,False,1.0,0.833333
case_000247,action_corruption,action,detection_gain,False,True,True,False,1.0,0.0
case_000248,action_corruption,action,detection_gain,False,True,True,False,1.0,0.833333
case_000249,action_corruption,action,detection_gain,False,True,True,False,1.0,0.5
case_000250,action_corruption,action,detection_gain,False,True,True,False,1.0,0.833333
case_000450,wrong_initial_state,routing,detection_gain,False,True,True,False,1.0,0.0
