scope,group_key,group_value,partition,tool_a,tool_b,comparison_label,n_cases,complete_repair_rate_a,complete_repair_rate_b,delta_complete_repair_rate,effective_repair_rate_a,effective_repair_rate_b,delta_effective_repair_rate,mean_delta_bpr_a,mean_delta_bpr_b,delta_mean_delta_bpr,regression_rate_a,regression_rate_b,delta_regression_rate
by_operator,mutation_operator,guard_flip,detectable_only,baseline_missing_transition,baseline_wrong_target,missing-transition vs wrong-target,2,1.0,0.0,1.0,1.0,0.0,1.0,0.233464,0.0,0.233464,0.0,0.0,0.0
by_operator,mutation_operator,guard_flip,detectable_only,baseline_missing_transition,baseline_random,missing-transition vs random,2,1.0,0.0,1.0,1.0,0.0,1.0,0.233464,-0.050221,0.283685,0.0,1.0,-1.0
by_operator,mutation_operator,guard_flip,detectable_only,baseline_wrong_target,baseline_random,wrong-target vs random,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.050221,0.050221,0.0,1.0,-1.0
by_operator,mutation_operator,guard_inter_class,detectable_only,baseline_missing_transition,baseline_wrong_target,missing-transition vs wrong-target,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
by_operator,mutation_operator,guard_inter_class,detectable_only,baseline_missing_transition,baseline_random,missing-transition vs random,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011111,0.011111,0.0,1.0,-1.0
by_operator,mutation_operator,guard_inter_class,detectable_only,baseline_wrong_target,baseline_random,wrong-target vs random,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011111,0.011111,0.0,1.0,-1.0
by_operator,mutation_operator,guard_strengthen,detectable_only,baseline_missing_transition,baseline_wrong_target,missing-transition vs wrong-target,1,1.0,0.0,1.0,1.0,0.0,1.0,0.08642,0.0,0.08642,0.0,0.0,0.0
by_operator,mutation_operator,guard_strengthen,detectable_only,baseline_missing_transition,baseline_random,missing-transition vs random,1,1.0,0.0,1.0,1.0,0.0,1.0,0.08642,0.0,0.08642,0.0,0.0,0.0
by_operator,mutation_operator,guard_strengthen,detectable_only,baseline_wrong_target,baseline_random,wrong-target vs random,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
by_operator,mutation_operator,guard_weaken,detectable_only,baseline_missing_transition,baseline_wrong_target,missing-transition vs wrong-target,1,1.0,0.0,1.0,1.0,0.0,1.0,0.208333,0.0,0.208333,0.0,0.0,0.0
by_operator,mutation_operator,guard_weaken,detectable_only,baseline_missing_transition,baseline_random,missing-transition vs random,1,1.0,0.0,1.0,1.0,0.0,1.0,0.208333,0.0,0.208333,0.0,0.0,0.0
by_operator,mutation_operator,guard_weaken,detectable_only,baseline_wrong_target,baseline_random,wrong-target vs random,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
by_operator,mutation_operator,missing_transition,detectable_only,baseline_missing_transition,baseline_wrong_target,missing-transition vs wrong-target,1,1.0,0.0,1.0,1.0,0.0,1.0,0.045455,0.0,0.045455,0.0,0.0,0.0
by_operator,mutation_operator,missing_transition,detectable_only,baseline_missing_transition,baseline_random,missing-transition vs random,1,1.0,0.0,1.0,1.0,0.0,1.0,0.045455,-0.045455,0.090909,0.0,1.0,-1.0
by_operator,mutation_operator,missing_transition,detectable_only,baseline_wrong_target,baseline_random,wrong-target vs random,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.045455,0.045455,0.0,1.0,-1.0
by_operator,mutation_operator,wrong_event,detectable_only,baseline_missing_transition,baseline_wrong_target,missing-transition vs wrong-target,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
by_operator,mutation_operator,wrong_event,detectable_only,baseline_missing_transition,baseline_random,missing-transition vs random,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003593,0.003593,0.0,1.0,-1.0
by_operator,mutation_operator,wrong_event,detectable_only,baseline_wrong_target,baseline_random,wrong-target vs random,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003593,0.003593,0.0,1.0,-1.0
by_operator,mutation_operator,wrong_initial_state,detectable_only,baseline_missing_transition,baseline_wrong_target,missing-transition vs wrong-target,1,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.727273,-0.727273,0.0,0.0,0.0
by_operator,mutation_operator,wrong_initial_state,detectable_only,baseline_missing_transition,baseline_random,missing-transition vs random,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
by_operator,mutation_operator,wrong_initial_state,detectable_only,baseline_wrong_target,baseline_random,wrong-target vs random,1,0.0,0.0,0.0,1.0,0.0,1.0,0.727273,0.0,0.727273,0.0,0.0,0.0
by_operator,mutation_operator,wrong_source,detectable_only,baseline_missing_transition,baseline_wrong_target,missing-transition vs wrong-target,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
by_operator,mutation_operator,wrong_source,detectable_only,baseline_missing_transition,baseline_random,missing-transition vs random,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004098,0.004098,0.0,1.0,-1.0
by_operator,mutation_operator,wrong_source,detectable_only,baseline_wrong_target,baseline_random,wrong-target vs random,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004098,0.004098,0.0,1.0,-1.0
by_operator,mutation_operator,wrong_target,detectable_only,baseline_missing_transition,baseline_wrong_target,missing-transition vs wrong-target,1,0.0,1.0,-1.0,0.0,1.0,-1.0,0.0,0.013158,-0.013158,0.0,0.0,0.0
by_operator,mutation_operator,wrong_target,detectable_only,baseline_missing_transition,baseline_random,missing-transition vs random,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.105263,0.105263,0.0,1.0,-1.0
by_operator,mutation_operator,wrong_target,detectable_only,baseline_wrong_target,baseline_random,wrong-target vs random,1,1.0,0.0,1.0,1.0,0.0,1.0,0.013158,-0.105263,0.118421,0.0,1.0,-1.0
