metric,value
case_count,1000
overall_detection_rate,0.65
mean_difficulty_score,9.91484
mean_reference_bpr,1.0
mean_faulty_bpr,0.627804
mean_bpr_delta,0.372196
detection_rate_action_corruption,0.0
detection_rate_dead_state_intro,0.0
detection_rate_delay_corruption,0.0
detection_rate_duplicate_transition,0.0
detection_rate_guard_flip,1.0
detection_rate_guard_strengthen,1.0
detection_rate_guard_weaken,1.0
detection_rate_missing_transition,1.0
detection_rate_nondeterminism_intro,0.0
detection_rate_timeout_corruption,0.0
detection_rate_unreachable_state_intro,0.0
detection_rate_wrong_event,1.0
detection_rate_wrong_initial_state,1.0
detection_rate_wrong_source,1.0
detection_rate_wrong_target,1.0
