oracle_depth,metric,value
shallow,case_count,200
shallow,overall_detection_rate,0.65
shallow,mean_difficulty_score,0.0
shallow,mean_reference_bpr,1.0
shallow,mean_faulty_bpr,0.627154
shallow,mean_bpr_delta,0.372846
shallow,detection_rate_action_corruption,0.0
shallow,detection_rate_dead_state_intro,0.0
shallow,detection_rate_delay_corruption,0.0
shallow,detection_rate_duplicate_transition,0.0
shallow,detection_rate_guard_flip,1.0
shallow,detection_rate_guard_strengthen,1.0
shallow,detection_rate_guard_weaken,1.0
shallow,detection_rate_missing_transition,1.0
shallow,detection_rate_nondeterminism_intro,0.0
shallow,detection_rate_timeout_corruption,0.0
shallow,detection_rate_unreachable_state_intro,0.0
shallow,detection_rate_wrong_event,1.0
shallow,detection_rate_wrong_initial_state,1.0
shallow,detection_rate_wrong_source,1.0
shallow,detection_rate_wrong_target,1.0
medium,case_count,200
medium,overall_detection_rate,0.65
medium,mean_difficulty_score,0.0
medium,mean_reference_bpr,1.0
medium,mean_faulty_bpr,0.627154
medium,mean_bpr_delta,0.372846
medium,detection_rate_action_corruption,0.0
medium,detection_rate_dead_state_intro,0.0
medium,detection_rate_delay_corruption,0.0
medium,detection_rate_duplicate_transition,0.0
medium,detection_rate_guard_flip,1.0
medium,detection_rate_guard_strengthen,1.0
medium,detection_rate_guard_weaken,1.0
medium,detection_rate_missing_transition,1.0
medium,detection_rate_nondeterminism_intro,0.0
medium,detection_rate_timeout_corruption,0.0
medium,detection_rate_unreachable_state_intro,0.0
medium,detection_rate_wrong_event,1.0
medium,detection_rate_wrong_initial_state,1.0
medium,detection_rate_wrong_source,1.0
medium,detection_rate_wrong_target,1.0
deep,case_count,200
deep,overall_detection_rate,0.65
deep,mean_difficulty_score,0.0
deep,mean_reference_bpr,1.0
deep,mean_faulty_bpr,0.627154
deep,mean_bpr_delta,0.372846
deep,detection_rate_action_corruption,0.0
deep,detection_rate_dead_state_intro,0.0
deep,detection_rate_delay_corruption,0.0
deep,detection_rate_duplicate_transition,0.0
deep,detection_rate_guard_flip,1.0
deep,detection_rate_guard_strengthen,1.0
deep,detection_rate_guard_weaken,1.0
deep,detection_rate_missing_transition,1.0
deep,detection_rate_nondeterminism_intro,0.0
deep,detection_rate_timeout_corruption,0.0
deep,detection_rate_unreachable_state_intro,0.0
deep,detection_rate_wrong_event,1.0
deep,detection_rate_wrong_initial_state,1.0
deep,detection_rate_wrong_source,1.0
deep,detection_rate_wrong_target,1.0
