metric,tool_id,value
case_count,,100
tool_run_count,,300
false_repair_rate,,0.0
regression_rate,,0.0
mean_delta_bpr,,0.0
tools_modifying_correct_fsms,,0
localization_skipped_cases,,100
case_count,baseline_missing_transition,100
false_repair_rate,baseline_missing_transition,0.0
regression_rate,baseline_missing_transition,0.0
mean_delta_bpr,baseline_missing_transition,0.0
tools_modifying_correct_fsms,baseline_missing_transition,0
case_count,baseline_random,100
false_repair_rate,baseline_random,0.0
regression_rate,baseline_random,0.0
mean_delta_bpr,baseline_random,0.0
tools_modifying_correct_fsms,baseline_random,0
case_count,baseline_wrong_target,100
false_repair_rate,baseline_wrong_target,0.0
regression_rate,baseline_wrong_target,0.0
mean_delta_bpr,baseline_wrong_target,0.0
tools_modifying_correct_fsms,baseline_wrong_target,0
