mutation_operator,cases,detectable_cases,oracle_saturated_cases,detection_rate,mean_faulty_bpr,complete_repair_rate,complete_repair_rate_detectable_only,effective_repair_rate,effective_repair_rate_detectable_only,mean_delta_bpr
action_corruption,59,0,59,nan,1.0,1.0,0.0,0.0,0.0,0.0
action_full_mutation,59,0,59,nan,1.0,1.0,0.0,0.0,0.0,0.0
dead_state_intro,59,0,59,nan,1.0,1.0,0.0,0.0,0.0,0.0
delay_corruption,59,0,59,nan,1.0,1.0,0.0,0.0,0.0,0.0
duplicate_transition,59,0,59,nan,1.0,1.0,0.0,0.0,0.0,0.0
guard_flip,59,59,0,nan,0.950049,1.0,1.0,1.0,1.0,0.049951
guard_inter_class,53,20,33,nan,0.968691,0.811321,0.5,0.188679,0.5,0.025376
guard_strengthen,59,59,0,nan,0.939585,1.0,1.0,1.0,1.0,0.060415
guard_weaken,59,59,0,nan,0.95299,1.0,1.0,1.0,1.0,0.04701
missing_transition,60,60,0,nan,0.950401,1.0,1.0,1.0,1.0,0.049599
nondeterminism_intro,59,0,59,nan,1.0,1.0,0.0,0.0,0.0,0.0
timeout_corruption,59,0,59,nan,1.0,1.0,0.0,0.0,0.0,0.0
unreachable_state_intro,59,0,59,nan,1.0,1.0,0.0,0.0,0.0,0.0
wrong_event,59,59,0,nan,0.911912,0.79661,0.79661,0.79661,0.79661,0.04752
wrong_initial_state,59,59,0,nan,0.039991,0.169492,0.169492,0.966102,0.966102,0.58367
wrong_source,60,60,0,nan,0.92467,0.583333,0.583333,0.583333,0.583333,0.021269
wrong_target,60,60,0,nan,0.947608,0.0,0.0,0.0,0.0,0.0
