metric,group,partition,subgroup,n_cases,mean,ci95_low,ci95_high
detection_rate,C1,cohort_wide,baseline_missing_transition,1000,0.495,0.465,0.525
complete_repair_rate,C1,cohort_wide,baseline_missing_transition,1000,0.844,0.821,0.866
effective_repair_rate,C1,cohort_wide,baseline_missing_transition,1000,0.386,0.356,0.416
mean_bpr_delta,C1,cohort_wide,baseline_missing_transition,1000,0.052122,0.042111,0.062306
detection_rate,C1,detectable_only,baseline_missing_transition,495,1.0,1.0,1.0
complete_repair_rate,C1,detectable_only,baseline_missing_transition,495,0.684848,0.644444,0.725253
effective_repair_rate,C1,detectable_only,baseline_missing_transition,495,0.779798,0.743434,0.816162
mean_bpr_delta,C1,detectable_only,baseline_missing_transition,495,0.105298,0.086775,0.12476
detection_rate,C1,cohort_wide,baseline_wrong_target,1000,0.495,0.465,0.525
complete_repair_rate,C1,cohort_wide,baseline_wrong_target,1000,0.565,0.535,0.595
effective_repair_rate,C1,cohort_wide,baseline_wrong_target,1000,0.109,0.09,0.129
mean_bpr_delta,C1,cohort_wide,baseline_wrong_target,1000,0.024094,0.017727,0.030811
detection_rate,C1,detectable_only,baseline_wrong_target,495,1.0,1.0,1.0
complete_repair_rate,C1,detectable_only,baseline_wrong_target,495,0.121212,0.092929,0.149495
effective_repair_rate,C1,detectable_only,baseline_wrong_target,495,0.220202,0.183838,0.256566
mean_bpr_delta,C1,detectable_only,baseline_wrong_target,495,0.048675,0.036205,0.061917
detection_rate,C1,cohort_wide,baseline_random,1000,0.495,0.465,0.525
complete_repair_rate,C1,cohort_wide,baseline_random,1000,0.506,0.476,0.537
effective_repair_rate,C1,cohort_wide,baseline_random,1000,0.003,0.0,0.007
mean_bpr_delta,C1,cohort_wide,baseline_random,1000,-0.008077,-0.00968,-0.006565
detection_rate,C1,detectable_only,baseline_random,495,1.0,1.0,1.0
complete_repair_rate,C1,detectable_only,baseline_random,495,0.00202,0.0,0.006061
effective_repair_rate,C1,detectable_only,baseline_random,495,0.006061,0.0,0.014141
mean_bpr_delta,C1,detectable_only,baseline_random,495,-0.016318,-0.019298,-0.013422
detection_rate,C1,cohort_wide,baseline_search_bpr,1000,0.495,0.465,0.525
complete_repair_rate,C1,cohort_wide,baseline_search_bpr,1000,0.932,0.916,0.947
effective_repair_rate,C1,cohort_wide,baseline_search_bpr,1000,0.485,0.454,0.516
mean_bpr_delta,C1,cohort_wide,baseline_search_bpr,1000,0.060952,0.050832,0.071507
detection_rate,C1,detectable_only,baseline_search_bpr,495,1.0,1.0,1.0
complete_repair_rate,C1,detectable_only,baseline_search_bpr,495,0.862626,0.832323,0.892929
effective_repair_rate,C1,detectable_only,baseline_search_bpr,495,0.979798,0.967677,0.991919
mean_bpr_delta,C1,detectable_only,baseline_search_bpr,495,0.123135,0.104907,0.14265
detection_rate,C1,cohort_wide,baseline_oracle_composite,1000,0.495,0.465,0.525
complete_repair_rate,C1,cohort_wide,baseline_oracle_composite,1000,0.839,0.816,0.862
effective_repair_rate,C1,cohort_wide,baseline_oracle_composite,1000,0.409,0.378,0.439
mean_bpr_delta,C1,cohort_wide,baseline_oracle_composite,1000,0.075999,0.0616,0.090405
detection_rate,C1,detectable_only,baseline_oracle_composite,495,1.0,1.0,1.0
complete_repair_rate,C1,detectable_only,baseline_oracle_composite,495,0.674747,0.632323,0.715152
effective_repair_rate,C1,detectable_only,baseline_oracle_composite,495,0.826263,0.791919,0.858586
mean_bpr_delta,C1,detectable_only,baseline_oracle_composite,495,0.153533,0.127566,0.181118
detection_rate,C1,cohort_wide,baseline_llm_template,1000,0.495,0.465,0.525
complete_repair_rate,C1,cohort_wide,baseline_llm_template,1000,0.839,0.816,0.862
effective_repair_rate,C1,cohort_wide,baseline_llm_template,1000,0.409,0.378,0.439
mean_bpr_delta,C1,cohort_wide,baseline_llm_template,1000,0.075999,0.0616,0.090405
detection_rate,C1,detectable_only,baseline_llm_template,495,1.0,1.0,1.0
complete_repair_rate,C1,detectable_only,baseline_llm_template,495,0.674747,0.632323,0.715152
effective_repair_rate,C1,detectable_only,baseline_llm_template,495,0.826263,0.791919,0.858586
mean_bpr_delta,C1,detectable_only,baseline_llm_template,495,0.153533,0.127566,0.181118
