tool_id,subgroup_type,subgroup_value,partition,metric,n_cases,point_estimate,ci95_low,ci95_high,ci_method,seed_count
baseline_missing_transition,tier,large,cohort_wide,complete_repair_rate,251,0.840637,0.792829,0.884462,case_bootstrap,1
baseline_missing_transition,tier,large,cohort_wide,effective_repair_rate,251,0.398406,0.338645,0.458167,case_bootstrap,1
baseline_missing_transition,tier,large,detectable_only,complete_repair_rate,127,0.685039,0.606299,0.76378,case_bootstrap,1
baseline_missing_transition,tier,large,detectable_only,effective_repair_rate,127,0.787402,0.716535,0.858268,case_bootstrap,1
baseline_missing_transition,tier,medium,cohort_wide,complete_repair_rate,251,0.840637,0.792829,0.884462,case_bootstrap,1
baseline_missing_transition,tier,medium,cohort_wide,effective_repair_rate,251,0.378486,0.318725,0.438247,case_bootstrap,1
baseline_missing_transition,tier,medium,detectable_only,complete_repair_rate,124,0.677419,0.596774,0.758065,case_bootstrap,1
baseline_missing_transition,tier,medium,detectable_only,effective_repair_rate,124,0.766129,0.693548,0.83871,case_bootstrap,1
baseline_missing_transition,tier,small,cohort_wide,complete_repair_rate,246,0.841463,0.792683,0.886179,case_bootstrap,1
baseline_missing_transition,tier,small,cohort_wide,effective_repair_rate,246,0.373984,0.313008,0.434959,case_bootstrap,1
baseline_missing_transition,tier,small,detectable_only,complete_repair_rate,121,0.677686,0.595041,0.760331,case_bootstrap,1
baseline_missing_transition,tier,small,detectable_only,effective_repair_rate,121,0.760331,0.68595,0.834711,case_bootstrap,1
baseline_missing_transition,tier,very_large,cohort_wide,complete_repair_rate,252,0.853175,0.809524,0.896825,case_bootstrap,1
baseline_missing_transition,tier,very_large,cohort_wide,effective_repair_rate,252,0.392857,0.333333,0.452381,case_bootstrap,1
baseline_missing_transition,tier,very_large,detectable_only,complete_repair_rate,123,0.699187,0.617886,0.780488,case_bootstrap,1
baseline_missing_transition,tier,very_large,detectable_only,effective_repair_rate,123,0.804878,0.731707,0.869919,case_bootstrap,1
baseline_wrong_target,tier,large,cohort_wide,complete_repair_rate,251,0.553785,0.49004,0.613546,case_bootstrap,1
baseline_wrong_target,tier,large,cohort_wide,effective_repair_rate,251,0.111554,0.075697,0.151394,case_bootstrap,1
baseline_wrong_target,tier,large,detectable_only,complete_repair_rate,127,0.11811,0.062992,0.181102,case_bootstrap,1
baseline_wrong_target,tier,large,detectable_only,effective_repair_rate,127,0.220472,0.149606,0.291339,case_bootstrap,1
baseline_wrong_target,tier,medium,cohort_wide,complete_repair_rate,251,0.565737,0.505976,0.625498,case_bootstrap,1
baseline_wrong_target,tier,medium,cohort_wide,effective_repair_rate,251,0.103586,0.067729,0.143426,case_bootstrap,1
baseline_wrong_target,tier,medium,detectable_only,complete_repair_rate,124,0.120968,0.064516,0.177419,case_bootstrap,1
baseline_wrong_target,tier,medium,detectable_only,effective_repair_rate,124,0.209677,0.145161,0.282258,case_bootstrap,1
baseline_wrong_target,tier,small,cohort_wide,complete_repair_rate,246,0.569106,0.50813,0.630081,case_bootstrap,1
baseline_wrong_target,tier,small,cohort_wide,effective_repair_rate,246,0.109756,0.073171,0.150407,case_bootstrap,1
baseline_wrong_target,tier,small,detectable_only,complete_repair_rate,121,0.123967,0.066116,0.190083,case_bootstrap,1
baseline_wrong_target,tier,small,detectable_only,effective_repair_rate,121,0.22314,0.14876,0.297521,case_bootstrap,1
baseline_wrong_target,tier,very_large,cohort_wide,complete_repair_rate,252,0.571429,0.511905,0.630952,case_bootstrap,1
baseline_wrong_target,tier,very_large,cohort_wide,effective_repair_rate,252,0.111111,0.075397,0.150794,case_bootstrap,1
baseline_wrong_target,tier,very_large,detectable_only,complete_repair_rate,123,0.121951,0.065041,0.178862,case_bootstrap,1
baseline_wrong_target,tier,very_large,detectable_only,effective_repair_rate,123,0.227642,0.154472,0.300813,case_bootstrap,1
baseline_oracle_composite,tier,large,cohort_wide,complete_repair_rate,251,0.812749,0.76494,0.860558,case_bootstrap,1
baseline_oracle_composite,tier,large,cohort_wide,effective_repair_rate,251,0.398406,0.338645,0.458167,case_bootstrap,1
baseline_oracle_composite,tier,large,detectable_only,complete_repair_rate,127,0.629921,0.543307,0.716535,case_bootstrap,1
baseline_oracle_composite,tier,large,detectable_only,effective_repair_rate,127,0.787402,0.716535,0.858268,case_bootstrap,1
baseline_oracle_composite,tier,medium,cohort_wide,complete_repair_rate,251,0.860558,0.816733,0.900398,case_bootstrap,1
baseline_oracle_composite,tier,medium,cohort_wide,effective_repair_rate,251,0.410359,0.346614,0.47012,case_bootstrap,1
baseline_oracle_composite,tier,medium,detectable_only,complete_repair_rate,124,0.717742,0.637097,0.798387,case_bootstrap,1
baseline_oracle_composite,tier,medium,detectable_only,effective_repair_rate,124,0.830645,0.758065,0.895161,case_bootstrap,1
baseline_oracle_composite,tier,small,cohort_wide,complete_repair_rate,246,0.898374,0.857724,0.934959,case_bootstrap,1
