mutation_operator,cases,detectable_cases,oracle_saturated_cases,detection_rate,mean_faulty_bpr,complete_repair_rate,complete_repair_rate_detectable_only,effective_repair_rate,effective_repair_rate_detectable_only,mean_delta_bpr
action_corruption,59,0,59,0.0,1.0,1.0,0.0,0.0,0.0,0.0
action_full_mutation,59,0,59,0.0,1.0,1.0,0.0,0.0,0.0,0.0
dead_state_intro,59,0,59,0.0,1.0,1.0,0.0,0.0,0.0,0.0
delay_corruption,59,0,59,0.0,1.0,1.0,0.0,0.0,0.0,0.0
duplicate_transition,59,0,59,0.0,1.0,1.0,0.0,0.0,0.0,0.0
guard_flip,59,59,0,1.0,0.950049,0.779661,0.779661,0.830508,0.830508,0.046821
guard_inter_class,53,20,33,0.377358,0.968691,0.735849,0.3,0.132075,0.35,0.023898
guard_strengthen,59,59,0,1.0,0.939585,0.728814,0.728814,0.779661,0.779661,0.051176
guard_weaken,59,59,0,1.0,0.95299,0.745763,0.745763,0.762712,0.762712,0.042934
missing_transition,60,60,0,1.0,0.950401,0.783333,0.783333,0.8,0.8,0.048082
nondeterminism_intro,59,0,59,0.0,1.0,1.0,0.0,0.0,0.0,0.0
timeout_corruption,59,0,59,0.0,1.0,1.0,0.0,0.0,0.0,0.0
unreachable_state_intro,59,0,59,0.0,1.0,1.0,0.0,0.0,0.0,0.0
wrong_event,59,59,0,1.0,0.911912,0.661017,0.661017,0.745763,0.745763,0.044602
wrong_initial_state,59,59,0,1.0,0.039991,0.033898,0.033898,1.0,1.0,0.90644
wrong_source,60,60,0,1.0,0.92467,0.783333,0.783333,0.85,0.85,0.071286
wrong_target,60,60,0,1.0,0.947608,1.0,1.0,1.0,1.0,0.052392
