tool_id,subgroup_type,subgroup_value,partition,metric,n_cases,point_estimate,ci95_low,ci95_high,ci_method,seed_count
baseline_missing_transition,operator,action_corruption,cohort_wide,complete_repair_rate,59,1.0,1.0,1.0,case_bootstrap,1
baseline_missing_transition,operator,action_corruption,cohort_wide,effective_repair_rate,59,0.0,0.0,0.0,case_bootstrap,1
baseline_missing_transition,operator,action_full_mutation,cohort_wide,complete_repair_rate,59,1.0,1.0,1.0,case_bootstrap,1
baseline_missing_transition,operator,action_full_mutation,cohort_wide,effective_repair_rate,59,0.0,0.0,0.0,case_bootstrap,1
baseline_missing_transition,operator,dead_state_intro,cohort_wide,complete_repair_rate,59,1.0,1.0,1.0,case_bootstrap,1
baseline_missing_transition,operator,dead_state_intro,cohort_wide,effective_repair_rate,59,0.0,0.0,0.0,case_bootstrap,1
baseline_missing_transition,operator,delay_corruption,cohort_wide,complete_repair_rate,59,1.0,1.0,1.0,case_bootstrap,1
baseline_missing_transition,operator,delay_corruption,cohort_wide,effective_repair_rate,59,0.0,0.0,0.0,case_bootstrap,1
baseline_missing_transition,operator,duplicate_transition,cohort_wide,complete_repair_rate,59,1.0,1.0,1.0,case_bootstrap,1
baseline_missing_transition,operator,duplicate_transition,cohort_wide,effective_repair_rate,59,0.0,0.0,0.0,case_bootstrap,1
baseline_missing_transition,operator,guard_flip,cohort_wide,complete_repair_rate,59,1.0,1.0,1.0,case_bootstrap,1
baseline_missing_transition,operator,guard_flip,cohort_wide,effective_repair_rate,59,1.0,1.0,1.0,case_bootstrap,1
baseline_missing_transition,operator,guard_flip,detectable_only,complete_repair_rate,59,1.0,1.0,1.0,case_bootstrap,1
baseline_missing_transition,operator,guard_flip,detectable_only,effective_repair_rate,59,1.0,1.0,1.0,case_bootstrap,1
baseline_missing_transition,operator,guard_inter_class,cohort_wide,complete_repair_rate,53,0.811321,0.698113,0.90566,case_bootstrap,1
baseline_missing_transition,operator,guard_inter_class,cohort_wide,effective_repair_rate,53,0.188679,0.09434,0.301887,case_bootstrap,1
baseline_missing_transition,operator,guard_inter_class,detectable_only,complete_repair_rate,20,0.5,0.3,0.7,case_bootstrap,1
baseline_missing_transition,operator,guard_inter_class,detectable_only,effective_repair_rate,20,0.5,0.3,0.7,case_bootstrap,1
baseline_missing_transition,operator,guard_strengthen,cohort_wide,complete_repair_rate,59,1.0,1.0,1.0,case_bootstrap,1
baseline_missing_transition,operator,guard_strengthen,cohort_wide,effective_repair_rate,59,1.0,1.0,1.0,case_bootstrap,1
baseline_missing_transition,operator,guard_strengthen,detectable_only,complete_repair_rate,59,1.0,1.0,1.0,case_bootstrap,1
baseline_missing_transition,operator,guard_strengthen,detectable_only,effective_repair_rate,59,1.0,1.0,1.0,case_bootstrap,1
baseline_missing_transition,operator,guard_weaken,cohort_wide,complete_repair_rate,59,1.0,1.0,1.0,case_bootstrap,1
baseline_missing_transition,operator,guard_weaken,cohort_wide,effective_repair_rate,59,1.0,1.0,1.0,case_bootstrap,1
baseline_missing_transition,operator,guard_weaken,detectable_only,complete_repair_rate,59,1.0,1.0,1.0,case_bootstrap,1
baseline_missing_transition,operator,guard_weaken,detectable_only,effective_repair_rate,59,1.0,1.0,1.0,case_bootstrap,1
baseline_missing_transition,operator,missing_transition,cohort_wide,complete_repair_rate,60,1.0,1.0,1.0,case_bootstrap,1
baseline_missing_transition,operator,missing_transition,cohort_wide,effective_repair_rate,60,1.0,1.0,1.0,case_bootstrap,1
baseline_missing_transition,operator,missing_transition,detectable_only,complete_repair_rate,60,1.0,1.0,1.0,case_bootstrap,1
baseline_missing_transition,operator,missing_transition,detectable_only,effective_repair_rate,60,1.0,1.0,1.0,case_bootstrap,1
baseline_missing_transition,operator,nondeterminism_intro,cohort_wide,complete_repair_rate,59,1.0,1.0,1.0,case_bootstrap,1
baseline_missing_transition,operator,nondeterminism_intro,cohort_wide,effective_repair_rate,59,0.0,0.0,0.0,case_bootstrap,1
baseline_missing_transition,operator,timeout_corruption,cohort_wide,complete_repair_rate,59,1.0,1.0,1.0,case_bootstrap,1
baseline_missing_transition,operator,timeout_corruption,cohort_wide,effective_repair_rate,59,0.0,0.0,0.0,case_bootstrap,1
baseline_missing_transition,operator,unreachable_state_intro,cohort_wide,complete_repair_rate,59,1.0,1.0,1.0,case_bootstrap,1
baseline_missing_transition,operator,unreachable_state_intro,cohort_wide,effective_repair_rate,59,0.0,0.0,0.0,case_bootstrap,1
baseline_missing_transition,operator,wrong_event,cohort_wide,complete_repair_rate,59,0.79661,0.694915,0.898305,case_bootstrap,1
baseline_missing_transition,operator,wrong_event,cohort_wide,effective_repair_rate,59,0.79661,0.694915,0.898305,case_bootstrap,1
baseline_missing_transition,operator,wrong_event,detectable_only,complete_repair_rate,59,0.79661,0.694915,0.898305,case_bootstrap,1
baseline_missing_transition,operator,wrong_event,detectable_only,effective_repair_rate,59,0.79661,0.694915,0.898305,case_bootstrap,1
baseline_missing_transition,operator,wrong_initial_state,cohort_wide,complete_repair_rate,59,0.169492,0.084746,0.271186,case_bootstrap,1
baseline_missing_transition,operator,wrong_initial_state,cohort_wide,effective_repair_rate,59,0.966102,0.915254,1.0,case_bootstrap,1
baseline_missing_transition,operator,wrong_initial_state,detectable_only,complete_repair_rate,59,0.169492,0.084746,0.271186,case_bootstrap,1
baseline_missing_transition,operator,wrong_initial_state,detectable_only,effective_repair_rate,59,0.966102,0.915254,1.0,case_bootstrap,1
baseline_missing_transition,operator,wrong_source,cohort_wide,complete_repair_rate,60,0.583333,0.45,0.7,case_bootstrap,1
baseline_missing_transition,operator,wrong_source,cohort_wide,effective_repair_rate,60,0.583333,0.45,0.7,case_bootstrap,1
baseline_missing_transition,operator,wrong_source,detectable_only,complete_repair_rate,60,0.583333,0.45,0.7,case_bootstrap,1
baseline_missing_transition,operator,wrong_source,detectable_only,effective_repair_rate,60,0.583333,0.45,0.7,case_bootstrap,1
baseline_missing_transition,operator,wrong_target,cohort_wide,complete_repair_rate,60,0.0,0.0,0.0,case_bootstrap,1
baseline_missing_transition,operator,wrong_target,cohort_wide,effective_repair_rate,60,0.0,0.0,0.0,case_bootstrap,1
baseline_missing_transition,operator,wrong_target,detectable_only,complete_repair_rate,60,0.0,0.0,0.0,case_bootstrap,1
baseline_missing_transition,operator,wrong_target,detectable_only,effective_repair_rate,60,0.0,0.0,0.0,case_bootstrap,1
baseline_wrong_target,operator,action_corruption,cohort_wide,complete_repair_rate,59,1.0,1.0,1.0,case_bootstrap,1
baseline_wrong_target,operator,action_corruption,cohort_wide,effective_repair_rate,59,0.0,0.0,0.0,case_bootstrap,1
baseline_wrong_target,operator,action_full_mutation,cohort_wide,complete_repair_rate,59,1.0,1.0,1.0,case_bootstrap,1
baseline_wrong_target,operator,action_full_mutation,cohort_wide,effective_repair_rate,59,0.0,0.0,0.0,case_bootstrap,1
baseline_wrong_target,operator,dead_state_intro,cohort_wide,complete_repair_rate,59,1.0,1.0,1.0,case_bootstrap,1
baseline_wrong_target,operator,dead_state_intro,cohort_wide,effective_repair_rate,59,0.0,0.0,0.0,case_bootstrap,1
baseline_wrong_target,operator,delay_corruption,cohort_wide,complete_repair_rate,59,1.0,1.0,1.0,case_bootstrap,1
baseline_wrong_target,operator,delay_corruption,cohort_wide,effective_repair_rate,59,0.0,0.0,0.0,case_bootstrap,1
baseline_wrong_target,operator,duplicate_transition,cohort_wide,complete_repair_rate,59,1.0,1.0,1.0,case_bootstrap,1
baseline_wrong_target,operator,duplicate_transition,cohort_wide,effective_repair_rate,59,0.0,0.0,0.0,case_bootstrap,1
baseline_wrong_target,operator,guard_flip,cohort_wide,complete_repair_rate,59,0.0,0.0,0.0,case_bootstrap,1
baseline_wrong_target,operator,guard_flip,cohort_wide,effective_repair_rate,59,0.0,0.0,0.0,case_bootstrap,1
baseline_wrong_target,operator,guard_flip,detectable_only,complete_repair_rate,59,0.0,0.0,0.0,case_bootstrap,1
baseline_wrong_target,operator,guard_flip,detectable_only,effective_repair_rate,59,0.0,0.0,0.0,case_bootstrap,1
baseline_wrong_target,operator,guard_inter_class,cohort_wide,complete_repair_rate,53,0.622642,0.490566,0.754717,case_bootstrap,1
baseline_wrong_target,operator,guard_inter_class,cohort_wide,effective_repair_rate,53,0.0,0.0,0.0,case_bootstrap,1
baseline_wrong_target,operator,guard_inter_class,detectable_only,complete_repair_rate,20,0.0,0.0,0.0,case_bootstrap,1
baseline_wrong_target,operator,guard_inter_class,detectable_only,effective_repair_rate,20,0.0,0.0,0.0,case_bootstrap,1
baseline_wrong_target,operator,guard_strengthen,cohort_wide,complete_repair_rate,59,0.0,0.0,0.0,case_bootstrap,1
baseline_wrong_target,operator,guard_strengthen,cohort_wide,effective_repair_rate,59,0.0,0.0,0.0,case_bootstrap,1
baseline_wrong_target,operator,guard_strengthen,detectable_only,complete_repair_rate,59,0.0,0.0,0.0,case_bootstrap,1
baseline_wrong_target,operator,guard_strengthen,detectable_only,effective_repair_rate,59,0.0,0.0,0.0,case_bootstrap,1
