oracle_depth,metric,value
shallow,detection_rate,0.476
shallow,mean_bpr_delta,0.085419
shallow,complete_repair_rate,0.88
shallow,effective_repair_rate,0.416
shallow,mean_repair_delta_bpr,0.056979
shallow,mean_scenario_length,4.09
medium,detection_rate,0.476
medium,mean_bpr_delta,0.11822
medium,complete_repair_rate,0.88
medium,effective_repair_rate,0.416
medium,mean_repair_delta_bpr,0.08385
medium,mean_scenario_length,9.32
deep,detection_rate,0.476
deep,mean_bpr_delta,0.156615
deep,complete_repair_rate,0.88
deep,effective_repair_rate,0.416
deep,mean_repair_delta_bpr,0.118017
deep,mean_scenario_length,18.51
