case_id,oracle_depth,declared_max_steps,mutation_operator,size_class,scenario_policy,reference_bpr,faulty_bpr,bpr_delta,fault_detected,final_bpr,repair_delta_bpr,complete_repair,effective_repair,oracle_state_coverage,oracle_transition_coverage,oracle_event_coverage,scenario_count,mean_scenario_length,median_scenario_length,max_scenario_length,max_scenario_steps
case_000011,shallow,5,action_corruption,large,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,82,4.060976,4.0,5,5
case_000030,shallow,5,action_corruption,medium,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,30,4.033333,4.0,5,5
case_000049,shallow,5,action_corruption,small,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,10,3.9,4.0,5,5
case_000068,shallow,5,action_corruption,very_large,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,241,4.182573,4,5,5
case_000075,shallow,5,action_full_mutation,large,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,77,4.181818,4,5,5
case_000018,shallow,5,action_full_mutation,medium,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,29,4.034483,4,5,5
case_000037,shallow,5,action_full_mutation,small,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,9,4.111111,4,5,5
case_000056,shallow,5,action_full_mutation,very_large,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,238,4.252101,4.0,5,5
case_000007,shallow,5,dead_state_intro,large,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,75,4.133333,4,5,5
case_000026,shallow,5,dead_state_intro,medium,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,26,4.230769,4.0,5,5
case_000045,shallow,5,dead_state_intro,small,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,9,4,4,5,5
case_000064,shallow,5,dead_state_intro,very_large,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,231,4.316017,4,6,6
case_000051,shallow,5,delay_corruption,large,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,75,4.133333,4,5,5
case_000070,shallow,5,delay_corruption,medium,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,26,4.115385,4.0,5,5
case_000013,shallow,5,delay_corruption,small,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,10,4,4.0,5,5
case_000032,shallow,5,delay_corruption,very_large,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,238,4.222689,4.0,5,5
case_000063,shallow,5,duplicate_transition,large,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,80,4.15,4.0,5,5
case_000006,shallow,5,duplicate_transition,medium,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,28,4,4.0,5,5
case_000025,shallow,5,duplicate_transition,small,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,9,4,4,5,5
case_000044,shallow,5,duplicate_transition,very_large,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,236,4.224576,4.0,5,5
case_000027,shallow,5,guard_flip,large,depth-forced,1.0,0.585987,0.414013,True,1.0,0.414013,True,True,1.0,1.0,1.0,77,4.077922,4,5,5
case_000046,shallow,5,guard_flip,medium,depth-forced,1.0,0.963964,0.036036,True,1.0,0.036036,True,True,1.0,1.0,1.0,27,4.111111,4,5,5
case_000065,shallow,5,guard_flip,small,depth-forced,1.0,0.861111,0.138889,True,1.0,0.138889,True,True,1.0,1.0,1.0,9,4,4,5,5
case_000008,shallow,5,guard_flip,very_large,depth-forced,1.0,0.984236,0.015764,True,1.0,0.015764,True,True,1.0,1.0,1.0,248,4.092742,4.0,5,5
case_000055,shallow,5,guard_inter_class,large,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,77,4.116883,4,5,5
case_000074,shallow,5,guard_inter_class,medium,depth-forced,1.0,0.982759,0.017241,True,1.0,0.017241,True,True,1.0,1.0,1.0,28,4.142857,4.0,5,5
case_000017,shallow,5,guard_inter_class,small,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,11,3.909091,4,5,5
case_000036,shallow,5,guard_inter_class,very_large,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,245,4.142857,4,5,5
case_000067,shallow,5,guard_strengthen,large,depth-forced,1.0,0.987138,0.012862,True,1.0,0.012862,True,True,1.0,1.0,1.0,76,4.092105,4.0,5,5
case_000010,shallow,5,guard_strengthen,medium,depth-forced,1.0,0.872881,0.127119,True,1.0,0.127119,True,True,1.0,1.0,1.0,29,4.068966,4,5,5
case_000029,shallow,5,guard_strengthen,small,depth-forced,1.0,0.871795,0.128205,True,1.0,0.128205,True,True,1.0,1.0,1.0,10,3.9,4.0,5,5
case_000048,shallow,5,guard_strengthen,very_large,depth-forced,1.0,0.998045,0.001955,True,1.0,0.001955,True,True,1.0,1.0,1.0,241,4.244813,4,5,5
case_000047,shallow,5,guard_weaken,large,depth-forced,1.0,0.990712,0.009288,True,1.0,0.009288,True,True,1.0,1.0,1.0,79,4.088608,4,5,5
case_000066,shallow,5,guard_weaken,medium,depth-forced,1.0,0.958678,0.041322,True,1.0,0.041322,True,True,1.0,1.0,1.0,30,4.033333,4.0,5,5
case_000009,shallow,5,guard_weaken,small,depth-forced,1.0,0.648649,0.351351,True,1.0,0.351351,True,True,1.0,1.0,1.0,9,4.111111,4,5,5
case_000028,shallow,5,guard_weaken,very_large,depth-forced,1.0,0.995103,0.004897,True,1.0,0.004897,True,True,1.0,1.0,1.0,246,4.150407,4.0,5,5
case_000039,shallow,5,missing_transition,large,depth-forced,1.0,0.993671,0.006329,True,1.0,0.006329,True,True,1.0,1.0,1.0,75,4.213333,4,5,5
case_000058,shallow,5,missing_transition,medium,depth-forced,1.0,0.964602,0.035398,True,1.0,0.035398,True,True,1.0,1.0,1.0,28,4.035714,4.0,5,5
case_000001,shallow,5,missing_transition,small,depth-forced,1.0,0.878788,0.121212,True,1.0,0.121212,True,True,1.0,1.0,1.0,8,4.125,4.0,5,5
case_000020,shallow,5,missing_transition,very_large,depth-forced,1.0,0.927052,0.072948,True,1.0,0.072948,True,True,1.0,1.0,1.0,238,4.147059,4.0,5,5
case_000071,shallow,5,nondeterminism_intro,large,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,79,4.063291,4,5,5
case_000014,shallow,5,nondeterminism_intro,medium,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,28,4.107143,4.0,5,5
case_000033,shallow,5,nondeterminism_intro,small,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,10,4,4.0,5,5
case_000052,shallow,5,nondeterminism_intro,very_large,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,240,4.170833,4.0,5,5
case_000031,shallow,5,timeout_corruption,large,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,77,4.077922,4,5,5
case_000050,shallow,5,timeout_corruption,medium,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,28,4.071429,4.0,5,5
case_000069,shallow,5,timeout_corruption,small,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,9,4.111111,4,5,5
case_000012,shallow,5,timeout_corruption,very_large,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,244,4.151639,4.0,5,5
case_000015,shallow,5,unreachable_state_intro,large,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,77,4.142857,4,5,5
case_000034,shallow,5,unreachable_state_intro,medium,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,31,4,4,5,5
case_000053,shallow,5,unreachable_state_intro,small,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,11,3.909091,4,5,5
case_000072,shallow,5,unreachable_state_intro,very_large,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,241,4.195021,4,5,5
case_000023,shallow,5,wrong_event,large,depth-forced,1.0,0.993769,0.006231,True,1.0,0.006231,True,True,1.0,1.0,1.0,78,4.115385,4.0,5,5
case_000042,shallow,5,wrong_event,medium,depth-forced,1.0,0.927273,0.072727,True,1.0,0.072727,True,True,1.0,1.0,1.0,27,4.074074,4,5,5
case_000061,shallow,5,wrong_event,small,depth-forced,1.0,0.583333,0.416667,True,1.0,0.416667,True,True,1.0,1.0,1.0,9,4,4,5,5
case_000004,shallow,5,wrong_event,very_large,depth-forced,1.0,0.997984,0.002016,True,1.0,0.002016,True,True,1.0,1.0,1.0,237,4.185654,4,5,5
case_000043,shallow,5,wrong_initial_state,large,depth-forced,1.0,0.0,1.0,True,0.833333,0.833333,False,True,1.0,1.0,1.0,79,4.101266,4,5,5
case_000062,shallow,5,wrong_initial_state,medium,depth-forced,1.0,0.0,1.0,True,0.342342,0.342342,False,True,1.0,1.0,1.0,27,4.111111,4,5,5
case_000005,shallow,5,wrong_initial_state,small,depth-forced,1.0,0.0,1.0,True,0.0,0.0,False,False,1.0,1.0,1.0,8,3.875,4.0,5,5
case_000024,shallow,5,wrong_initial_state,very_large,depth-forced,1.0,0.0,1.0,True,0.696517,0.696517,False,True,1.0,1.0,1.0,244,4.118852,4.0,5,5
case_000003,shallow,5,wrong_source,large,depth-forced,1.0,0.978328,0.021672,True,1.0,0.021672,True,True,1.0,1.0,1.0,77,4.194805,4,6,6
case_000022,shallow,5,wrong_source,medium,depth-forced,1.0,0.880342,0.119658,True,1.0,0.119658,True,True,1.0,1.0,1.0,29,4.034483,4,5,5
case_000041,shallow,5,wrong_source,small,depth-forced,1.0,0.694444,0.305556,True,1.0,0.305556,True,True,1.0,1.0,1.0,9,4,4,5,5
case_000060,shallow,5,wrong_source,very_large,depth-forced,1.0,0.986974,0.013026,True,1.0,0.013026,True,True,1.0,1.0,1.0,237,4.21097,4,5,5
case_000059,shallow,5,wrong_target,large,depth-forced,1.0,0.986971,0.013029,True,0.986971,0.0,False,False,1.0,1.0,1.0,74,4.148649,4.0,5,5
