case_id,mutation_operator,fo_detected,ho_detected,fo_bpr_delta,ho_bpr_delta,delta_bpr_change_ho_minus_fo,fo_complete_repair,ho_complete_repair,detection_gained_fo_to_ho,repair_complete_lost_fo_to_ho
case_000011,action_corruption,False,True,0.0,0.038136,0.038136,True,False,True,True
case_000030,action_corruption,False,True,0.0,1.0,1.0,True,False,True,True
case_000049,action_corruption,False,True,0.0,0.727273,0.727273,True,False,True,True
case_000068,action_corruption,False,True,0.0,0.002407,0.002407,True,True,True,False
case_000075,action_full_mutation,False,True,0.0,1.0,1.0,True,False,True,True
case_000018,action_full_mutation,False,True,0.0,0.028169,0.028169,True,True,True,False
case_000037,action_full_mutation,False,True,0.0,1.0,1.0,True,False,True,True
case_000056,action_full_mutation,False,True,0.0,0.112139,0.112139,True,True,True,False
case_000007,dead_state_intro,False,True,0.0,0.008197,0.008197,True,True,True,False
case_000026,dead_state_intro,False,True,0.0,1.0,1.0,True,False,True,True
case_000045,dead_state_intro,False,True,0.0,0.454545,0.454545,True,True,True,False
case_000064,dead_state_intro,False,True,0.0,1.0,1.0,True,False,True,True
case_000051,delay_corruption,False,True,0.0,0.03629,0.03629,True,False,True,True
case_000070,delay_corruption,False,True,0.0,0.024691,0.024691,True,True,True,False
case_000013,delay_corruption,False,True,0.0,0.083333,0.083333,True,True,True,False
case_000032,delay_corruption,False,True,0.0,0.002339,0.002339,True,True,True,False
case_000063,duplicate_transition,False,True,0.0,1.0,1.0,True,False,True,True
case_000006,duplicate_transition,False,True,0.0,1.0,1.0,True,False,True,True
case_000025,duplicate_transition,False,True,0.0,0.227273,0.227273,True,False,True,True
case_000044,duplicate_transition,False,True,0.0,1.0,1.0,True,False,True,True
case_000027,guard_flip,True,True,0.452586,0.012931,-0.43965499999999996,True,False,False,True
case_000046,guard_flip,True,True,0.012821,0.358974,0.346153,True,False,False,True
case_000065,guard_flip,True,True,0.045455,0.545455,0.5,True,True,False,False
case_000008,guard_flip,True,True,0.014342,0.003911,-0.010431,True,False,False,True
case_000055,guard_inter_class,False,True,0.0,1.0,1.0,True,False,True,True
case_000074,guard_inter_class,True,True,0.011111,0.011111,0.0,True,True,False,False
case_000017,guard_inter_class,False,True,0.0,1.0,1.0,True,False,True,True
case_000036,guard_inter_class,False,True,0.0,0.003676,0.003676,True,True,True,False
case_000067,guard_strengthen,True,True,0.004237,0.097458,0.093221,True,True,False,False
case_000010,guard_strengthen,True,True,0.08642,0.037037,-0.049382999999999996,True,True,False,False
case_000029,guard_strengthen,True,True,0.045455,0.727273,0.6818179999999999,True,False,False,True
case_000048,guard_strengthen,True,True,0.00113,0.031638,0.030508,True,True,False,False
case_000047,guard_weaken,True,True,0.004,0.096,0.092,True,False,False,True
case_000066,guard_weaken,True,True,0.012821,0.435897,0.42307599999999995,True,False,False,True
case_000009,guard_weaken,True,True,0.208333,0.125,-0.08333299999999999,True,False,False,True
case_000028,guard_weaken,True,True,0.001245,1.0,0.998755,True,False,False,True
case_000039,missing_transition,True,True,0.003906,0.089844,0.08593799999999999,True,True,False,False
case_000058,missing_transition,True,True,0.012048,0.216867,0.204819,True,True,False,False
case_000001,missing_transition,True,True,0.045455,1.0,0.954545,True,False,False,True
case_000020,missing_transition,True,True,0.0743,0.003654,-0.070646,True,False,False,True
case_000071,nondeterminism_intro,False,True,0.0,0.008333,0.008333,True,False,True,True
case_000014,nondeterminism_intro,False,True,0.0,0.02381,0.02381,True,True,True,False
case_000033,nondeterminism_intro,False,True,0.0,0.25,0.25,True,False,True,True
case_000052,nondeterminism_intro,False,True,0.0,1.0,1.0,True,False,True,True
case_000031,timeout_corruption,False,True,0.0,0.008734,0.008734,True,True,True,False
case_000050,timeout_corruption,False,True,0.0,0.025974,0.025974,True,True,True,False
case_000069,timeout_corruption,False,True,0.0,0.192308,0.192308,True,False,True,True
case_000012,timeout_corruption,False,True,0.0,0.033251,0.033251,True,True,True,False
case_000015,unreachable_state_intro,False,True,0.0,0.008065,0.008065,True,True,True,False
case_000034,unreachable_state_intro,False,True,0.0,0.112676,0.112676,True,False,True,True
case_000053,unreachable_state_intro,False,True,0.0,0.095238,0.095238,True,True,True,False
case_000072,unreachable_state_intro,False,True,0.0,1.0,1.0,True,False,True,True
case_000023,wrong_event,True,True,0.004132,0.140496,0.136364,True,False,False,True
case_000042,wrong_event,True,True,0.012346,0.17284,0.160494,True,False,False,True
