campaign_lane,construct,metric,partition,n_cases,value
c1_missing_transition,detection,detection_rate,cohort_wide,250,0.472
c1_missing_transition,detection,mean_bpr_delta_pre_repair,cohort_wide,250,0.0677
c1_missing_transition,repair,mean_repair_delta_bpr,cohort_wide,250,0.037953
c1_missing_transition,repair,complete_repair_rate,cohort_wide,250,0.848
c1_missing_transition,repair,effective_repair_rate,cohort_wide,250,0.364
rq4_first_order,detection,detection_rate,cohort_wide,250,0.472
rq4_first_order,detection,mean_bpr_delta_pre_repair,cohort_wide,250,0.0677
rq4_first_order,repair,mean_repair_delta_bpr,cohort_wide,250,0.040422
rq4_first_order,repair,complete_repair_rate,cohort_wide,250,0.892
rq4_first_order,repair,effective_repair_rate,cohort_wide,250,0.42
rq4_higher_order,detection,detection_rate,cohort_wide,250,1.0
rq4_higher_order,detection,mean_bpr_delta_pre_repair,cohort_wide,250,0.388064
rq4_higher_order,repair,mean_repair_delta_bpr,cohort_wide,250,0.265796
rq4_higher_order,repair,complete_repair_rate,cohort_wide,250,0.404
rq4_higher_order,repair,effective_repair_rate,cohort_wide,250,0.98
c1_missing_transition,detection,detection_rate,detectable_only,118,1.0
c1_missing_transition,detection,mean_bpr_delta_pre_repair,detectable_only,118,0.143432
c1_missing_transition,repair,mean_repair_delta_bpr,detectable_only,118,0.080409
c1_missing_transition,repair,complete_repair_rate,detectable_only,118,0.677966
c1_missing_transition,repair,effective_repair_rate,detectable_only,118,0.771186
rq4_first_order,detection,detection_rate,detectable_only,118,1.0
rq4_first_order,detection,mean_bpr_delta_pre_repair,detectable_only,118,0.143432
rq4_first_order,repair,mean_repair_delta_bpr,detectable_only,118,0.08564
rq4_first_order,repair,complete_repair_rate,detectable_only,118,0.771186
rq4_first_order,repair,effective_repair_rate,detectable_only,118,0.889831
rq4_higher_order,detection,detection_rate,detectable_only,118,1.0
rq4_higher_order,detection,mean_bpr_delta_pre_repair,detectable_only,118,0.416379
rq4_higher_order,repair,mean_repair_delta_bpr,detectable_only,118,0.283189
rq4_higher_order,repair,complete_repair_rate,detectable_only,118,0.322034
rq4_higher_order,repair,effective_repair_rate,detectable_only,118,0.991525
rq3_ochiai,localization,top_1_hit_rate,transition_localizable_gt,90,0.166667
c1_missing_transition,repair,complete_repair_rate,transition_localizable_gt,90,0.711111
rq4_higher_order,repair,complete_repair_rate,transition_localizable_gt,90,0.333333
rq4_higher_order,detection,detection_gain_fo_to_ho_rate,cohort_wide,250,0.528
rq4_higher_order,repair,complete_repair_loss_fo_to_ho_rate,cohort_wide,250,0.496
