case_id,mutation_operator,operator_family,change_type,detected_s0,detected_s1,saturated_s0,saturated_s1,faulty_bpr_s0,faulty_bpr_s1
case_000011,action_corruption,action,detection_gain,False,True,True,False,1.0,0.961864
case_000018,action_full_mutation,action,detection_gain,False,True,True,False,1.0,0.0
case_000030,action_corruption,action,detection_gain,False,True,True,False,1.0,0.907895
case_000037,action_full_mutation,action,detection_gain,False,True,True,False,1.0,0.0
case_000049,action_corruption,action,detection_gain,False,True,True,False,1.0,0.954545
case_000056,action_full_mutation,action,detection_gain,False,True,True,False,1.0,0.0
case_000068,action_corruption,action,detection_gain,False,True,True,False,1.0,0.986763
case_000075,action_full_mutation,action,detection_gain,False,True,True,False,1.0,0.0
case_000087,action_corruption,action,detection_gain,False,True,True,False,1.0,0.915323
case_000094,action_full_mutation,action,detection_gain,False,True,True,False,1.0,0.0
case_000106,action_corruption,action,detection_gain,False,True,True,False,1.0,0.985915
case_000113,action_full_mutation,action,detection_gain,False,True,True,False,1.0,0.0
case_000125,action_corruption,action,detection_gain,False,True,True,False,1.0,0.954545
case_000132,action_full_mutation,action,detection_gain,False,True,True,False,1.0,0.0
case_000144,action_corruption,action,detection_gain,False,True,True,False,1.0,0.998824
case_000151,action_full_mutation,action,detection_gain,False,True,True,False,1.0,0.0
case_000163,action_corruption,action,detection_gain,False,True,True,False,1.0,0.995833
case_000170,action_full_mutation,action,detection_gain,False,True,True,False,1.0,0.0
case_000182,action_corruption,action,detection_gain,False,True,True,False,1.0,0.987179
case_000189,action_full_mutation,action,detection_gain,False,True,True,False,1.0,0.0
case_000201,action_corruption,action,detection_gain,False,True,True,False,1.0,0.958333
case_000208,action_full_mutation,action,detection_gain,False,True,True,False,1.0,0.0
case_000220,action_corruption,action,detection_gain,False,True,True,False,1.0,0.998867
case_000227,action_full_mutation,action,detection_gain,False,True,True,False,1.0,0.0
case_000239,action_corruption,action,detection_gain,False,True,True,False,1.0,0.907895
case_000246,action_full_mutation,action,detection_gain,False,True,True,False,1.0,0.0
case_000258,action_corruption,action,detection_gain,False,True,True,False,1.0,0.691358
case_000265,action_full_mutation,action,detection_gain,False,True,True,False,1.0,0.0
case_000277,action_corruption,action,detection_gain,False,True,True,False,1.0,0.952381
case_000284,action_full_mutation,action,detection_gain,False,True,True,False,1.0,0.0
case_000296,action_corruption,action,detection_gain,False,True,True,False,1.0,0.998786
case_000303,action_full_mutation,action,detection_gain,False,True,True,False,1.0,0.0
case_000315,action_corruption,action,detection_gain,False,True,True,False,1.0,0.995763
case_000322,action_full_mutation,action,detection_gain,False,True,True,False,1.0,0.0
case_000334,action_corruption,action,detection_gain,False,True,True,False,1.0,0.91358
case_000341,action_full_mutation,action,detection_gain,False,True,True,False,1.0,0.0
case_000353,action_corruption,action,detection_gain,False,True,True,False,1.0,0.954545
case_000360,action_full_mutation,action,detection_gain,False,True,True,False,1.0,0.0
case_000372,action_corruption,action,detection_gain,False,True,True,False,1.0,0.998829
case_000379,action_full_mutation,action,detection_gain,False,True,True,False,1.0,0.0
case_000391,action_corruption,action,detection_gain,False,True,True,False,1.0,0.995614
case_000398,action_full_mutation,action,detection_gain,False,True,True,False,1.0,0.0
case_000410,action_corruption,action,detection_gain,False,True,True,False,1.0,0.989247
case_000417,action_full_mutation,action,detection_gain,False,True,True,False,1.0,0.0
case_000429,action_corruption,action,detection_gain,False,True,True,False,1.0,0.958333
case_000436,action_full_mutation,action,detection_gain,False,True,True,False,1.0,0.0
case_000448,action_corruption,action,detection_gain,False,True,True,False,1.0,0.998864
case_000455,action_full_mutation,action,detection_gain,False,True,True,False,1.0,0.0
case_000467,action_corruption,action,detection_gain,False,True,True,False,1.0,0.995763
case_000474,action_full_mutation,action,detection_gain,False,True,True,False,1.0,0.0
case_000486,action_corruption,action,detection_gain,False,True,True,False,1.0,0.988889
case_000493,action_full_mutation,action,detection_gain,False,True,True,False,1.0,0.0
case_000505,action_corruption,action,detection_gain,False,True,True,False,1.0,0.954545
case_000512,action_full_mutation,action,detection_gain,False,True,True,False,1.0,0.0
case_000524,action_corruption,action,detection_gain,False,True,True,False,1.0,0.998861
case_000531,action_full_mutation,action,detection_gain,False,True,True,False,1.0,0.0
case_000543,action_corruption,action,detection_gain,False,True,True,False,1.0,0.99569
case_000550,action_full_mutation,action,detection_gain,False,True,True,False,1.0,0.0
case_000562,action_corruption,action,detection_gain,False,True,True,False,1.0,0.987952
case_000569,action_full_mutation,action,detection_gain,False,True,True,False,1.0,0.0
case_000581,action_corruption,action,detection_gain,False,True,True,False,1.0,0.954545
case_000588,action_full_mutation,action,detection_gain,False,True,True,False,1.0,0.0
case_000600,action_corruption,action,detection_gain,False,True,True,False,1.0,0.99878
case_000607,action_full_mutation,action,detection_gain,False,True,True,False,1.0,0.0
case_000619,action_corruption,action,detection_gain,False,True,True,False,1.0,0.995902
case_000626,action_full_mutation,action,detection_gain,False,True,True,False,1.0,0.0
case_000638,action_corruption,action,detection_gain,False,True,True,False,1.0,0.987179
case_000645,action_full_mutation,action,detection_gain,False,True,True,False,1.0,0.0
case_000657,action_corruption,action,detection_gain,False,True,True,False,1.0,0.227273
case_000664,action_full_mutation,action,detection_gain,False,True,True,False,1.0,0.0
case_000676,action_corruption,action,detection_gain,False,True,True,False,1.0,0.998825
case_000683,action_full_mutation,action,detection_gain,False,True,True,False,1.0,0.0
case_000695,action_corruption,action,detection_gain,False,True,True,False,1.0,0.995918
case_000702,action_full_mutation,action,detection_gain,False,True,True,False,1.0,0.0
case_000714,action_corruption,action,detection_gain,False,True,True,False,1.0,0.794872
case_000721,action_full_mutation,action,detection_gain,False,True,True,False,1.0,0.0
case_000733,action_corruption,action,detection_gain,False,True,True,False,1.0,0.5
case_000740,action_full_mutation,action,detection_gain,False,True,True,False,1.0,0.0
case_000752,action_corruption,action,detection_gain,False,True,True,False,1.0,0.986284
case_000759,action_full_mutation,action,detection_gain,False,True,True,False,1.0,0.0
case_000771,action_corruption,action,detection_gain,False,True,True,False,1.0,0.996183
case_000778,action_full_mutation,action,detection_gain,False,True,True,False,1.0,0.0
case_000790,action_corruption,action,detection_gain,False,True,True,False,1.0,0.987179
case_000797,action_full_mutation,action,detection_gain,False,True,True,False,1.0,0.0
case_000809,action_corruption,action,detection_gain,False,True,True,False,1.0,0.958333
case_000816,action_full_mutation,action,detection_gain,False,True,True,False,1.0,0.0
case_000828,action_corruption,action,detection_gain,False,True,True,False,1.0,0.998762
case_000835,action_full_mutation,action,detection_gain,False,True,True,False,1.0,0.0
case_000847,action_corruption,action,detection_gain,False,True,True,False,1.0,0.995918
case_000854,action_full_mutation,action,detection_gain,False,True,True,False,1.0,0.0
case_000866,action_corruption,action,detection_gain,False,True,True,False,1.0,0.906667
case_000873,action_full_mutation,action,detection_gain,False,True,True,False,1.0,0.0
case_000885,action_corruption,action,detection_gain,False,True,True,False,1.0,0.954545
case_000892,action_full_mutation,action,detection_gain,False,True,True,False,1.0,0.0
case_000904,action_corruption,action,detection_gain,False,True,True,False,1.0,0.987283
case_000911,action_full_mutation,action,detection_gain,False,True,True,False,1.0,0.0
case_000923,action_corruption,action,detection_gain,False,True,True,False,1.0,0.996078
case_000930,action_full_mutation,action,detection_gain,False,True,True,False,1.0,0.0
case_000942,action_corruption,action,detection_gain,False,True,True,False,1.0,0.9875
case_000949,action_full_mutation,action,detection_gain,False,True,True,False,1.0,0.0
case_000961,action_corruption,action,detection_gain,False,True,True,False,1.0,0.952381
case_000968,action_full_mutation,action,detection_gain,False,True,True,False,1.0,0.0
case_000980,action_corruption,action,detection_gain,False,True,True,False,1.0,0.998833
case_000987,action_full_mutation,action,detection_gain,False,True,True,False,1.0,0.0
case_000999,action_corruption,action,detection_gain,False,True,True,False,1.0,0.995951
case_001006,action_full_mutation,action,detection_gain,False,True,True,False,1.0,0.0
case_001018,action_corruption,action,detection_gain,False,True,True,False,1.0,0.986667
case_001025,action_full_mutation,action,detection_gain,False,True,True,False,1.0,0.0
case_001037,action_corruption,action,detection_gain,False,True,True,False,1.0,0.954545
case_001044,action_full_mutation,action,detection_gain,False,True,True,False,1.0,0.0
case_001056,action_corruption,action,detection_gain,False,True,True,False,1.0,0.998841
