surface_id,mutation_operator,operator_family,case_count,detection_rate,saturation_count,saturation_rate,mean_faulty_bpr,mean_bpr_delta
S0,action_corruption,action,59,0.0,59,1.0,1.0,0.0
S0,action_full_mutation,action,59,0.0,59,1.0,1.0,0.0
S0,dead_state_intro,reachability,59,0.0,59,1.0,1.0,0.0
S0,delay_corruption,timing,59,0.0,59,1.0,1.0,0.0
S0,duplicate_transition,nondeterminism,59,0.0,59,1.0,1.0,0.0
S0,guard_flip,guard,59,1.0,0,0.0,0.950049,0.049951
S0,guard_inter_class,guard,53,0.377358,33,0.622642,0.968691,0.031309
S0,guard_strengthen,guard,59,1.0,0,0.0,0.939585,0.060415
S0,guard_weaken,guard,59,1.0,0,0.0,0.95299,0.04701
S0,missing_transition,routing,60,1.0,0,0.0,0.950401,0.049599
S0,nondeterminism_intro,nondeterminism,59,0.0,59,1.0,1.0,0.0
S0,timeout_corruption,timing,59,0.0,59,1.0,1.0,0.0
S0,unreachable_state_intro,reachability,59,0.0,59,1.0,1.0,0.0
S0,wrong_event,routing,59,1.0,0,0.0,0.911912,0.088088
S0,wrong_initial_state,routing,59,1.0,0,0.0,0.039991,0.960009
S0,wrong_source,routing,60,1.0,0,0.0,0.92467,0.07533
S0,wrong_target,routing,60,1.0,0,0.0,0.947608,0.052392
S1,action_corruption,action,59,1.0,0,0.0,0.947723,0.052277
S1,action_full_mutation,action,59,1.0,0,0.0,0.0,1.0
S1,dead_state_intro,reachability,59,0.0,59,1.0,1.0,0.0
S1,delay_corruption,timing,59,0.0,59,1.0,1.0,0.0
S1,duplicate_transition,nondeterminism,59,0.0,59,1.0,1.0,0.0
S1,guard_flip,guard,59,1.0,0,0.0,0.950049,0.049951
S1,guard_inter_class,guard,53,0.377358,33,0.622642,0.968691,0.031309
S1,guard_strengthen,guard,59,1.0,0,0.0,0.939585,0.060415
S1,guard_weaken,guard,59,1.0,0,0.0,0.95299,0.04701
S1,missing_transition,routing,60,1.0,0,0.0,0.950401,0.049599
S1,nondeterminism_intro,nondeterminism,59,0.0,59,1.0,1.0,0.0
S1,timeout_corruption,timing,59,0.0,59,1.0,1.0,0.0
S1,unreachable_state_intro,reachability,59,0.0,59,1.0,1.0,0.0
S1,wrong_event,routing,59,1.0,0,0.0,0.911912,0.088088
S1,wrong_initial_state,routing,59,1.0,0,0.0,0.0,1.0
S1,wrong_source,routing,60,1.0,0,0.0,0.92467,0.07533
S1,wrong_target,routing,60,1.0,0,0.0,0.947608,0.052392
